RXCUI,INGREDIENT
1294552,conivaptan
1085644,triamcinolone
616817,budesonide
1044532,calcium carbonate
727347,epinephrine
104491,simvastatin
845479,topiramate
206842,isosorbide dinitrate
104781,risperidone
198190,ranitidine
352201,olmesartan
617322,clavulanate
617322,amoxicillin
242446,ofloxacin
1191026,proparacaine
1801289,bupropion
151226,topiramate
1245430,ezetimibe
1245430,simvastatin
998671,clonidine
198046,nortriptyline
105602,hydroxyurea
1724787,bupivacaine
630807,levetiracetam
402019,tadalafil
1046920,nicotine
1010692,epinephrine
1010692,lidocaine
105174,cefotaxime
992438,promethazine
312641,progesterone
6918,metoprolol
308963,captopril
11289,warfarin
485023,mycophenolic acid
706943,sodium chloride
314124,neomycin
314124,polymyxin b
2556,citalopram
1721476,ampicillin
244638,zinc oxide
32675,oxybutynin
1809102,sufentanil
856664,rifaximin
1049563,oxycodone
7213,ipratropium
636842,methylsulfonylmethane
636842,chondroitin sulfates
636842,glucosamine
1807917,metformin
1736640,botulinum toxin type b
197696,fentanyl
200251,sodium phosphate; monobasic
200251,sodium phosphate; dibasic
200251,potassium phosphate
308668,benzocaine
308668,menthol
1191508,bupivacaine
6915,metoclopramide
309098,cefuroxime
966157,levothyroxine
855346,warfarin
198239,sulindac
898692,benazepril
260218,modafinil
2564037,belumosudil
1736863,insulin glargine
207406,ribavirin
1000154,medroxyprogesterone
208949,estrogens; conjugated (usp)
997006,lovastatin
284591,citalopram
351859,insulin; regular; human
204210,alteplase
861599,pentamidine
213841,fluorouracil
751616,nebivolol
1656356,sacubitril
1656356,valsartan
1251059,glycerin
207839,vitamin k1
199389,glucosamine
1115012,gabapentin
1190664,atropine
835909,cyclosporine
1535226,dexmedetomidine
804186,rubella virus vaccine live (wistar ra 27-3 strain)
804186,mumps virus vaccine live; jeryl lynn strain
804186,measles virus vaccine live; enders' attenuated edmonston strain
858125,degarelix
261186,fentanyl
20610,cetirizine
904469,pravastatin
992446,promethazine
896271,salmeterol
896271,fluticasone
226426,modafinil
206101,estradiol
1053239,benzocaine
1371985,ubidecarenone
645216,calcium acetate
876214,polyethylene glycol 3350
828757,caspofungin
542925,hyaluronidase
208463,temazepam
1998772,beclomethasone
898352,amlodipine
898352,benazepril
2057964,midazolam
1737852,methylene blue
352319,atomoxetine
687045,dextroamphetamine
687045,amphetamine
1999389,ivacaftor
1999389,tezacaftor
724568,nystatin
685576,clindamycin
1000500,estrogens; conjugated (usp)
1000500,medroxyprogesterone
212405,olanzapine
239178,vinblastine
898689,benazepril
1430071,chondroitin sulfates
1430071,glucosamine
392038,sodium fluoride
754509,aprepitant
849728,naproxen
1665109,cefoxitin
1736478,eptifibatide
966218,levothyroxine
1049910,diphenhydramine
1649491,ivabradine
833139,milnacipran
997007,lovastatin
212218,epoetin alfa
206854,isosorbide
284404,dofetilide
2166797,albuterol
261286,zaleplon
1248013,sennosides; usp
1248013,docusate
10582,levothyroxine
860109,ketorolac
905464,levothyroxine
995626,meclizine
359570,methylsulfonylmethane
359570,glucosamine
207202,ofloxacin
1664988,aztreonam
237210,papaverine
900599,ubiquinol
226666,rivastigmine
861646,pitavastatin
1992428,apixaban
830263,hepatitis b surface antigen vaccine
861650,pitavastatin
637188,varenicline
857171,fosinopril
1242404,doxazosin
580267,tizanidine
1797840,ciclesonide
833146,milnacipran
847261,insulin glulisine; human
1792785,atezolizumab
1550946,colchicine
352218,voriconazole
1793147,camphor
1793147,methyl salicylate
1793147,menthol
352086,desloratadine
861604,pentamidine
2105947,methyl salicylate
2105947,menthol
723832,glucosamine
854836,lisdexamfetamine
2177697,influenza a virus (h1n1) antigen
2177697,influenza a virus (h3n2) antigen
2177697,influenza b virus antigen
1718760,6-aminocaproic acid
995019,nitroglycerin
1657751,pembrolizumab
197903,lovastatin
201900,fluconazole
1798389,heparin
1737582,clindamycin
349287,fenofibrate
892589,morphine
803239,chromic chloride
803239,copper sulfate
803239,manganese sulfate
803239,zinc sulfate
1795252,glucose
1795252,sodium chloride
904481,pravastatin
312938,sertraline
8514,polyethylene glycol 400
309696,dexamethasone
238212,glycopyrronium
2123076,albuterol
198242,temazepam
238082,ketamine
1040054,dextromethorphan
1040054,quinidine
4450,fluconazole
1539757,efinaconazole
206771,lisinopril
707251,sodium chloride
1098887,cholecalciferol
1358619,methylprednisolone
892660,morphine
206913,ibuprofen
978009,loperamide
1872272,hydromorphone
1300810,haemophilus influenzae type b; capsular polysaccharide inactivated tetanus toxoid conjugate vaccine
1300354,zinc sulfate
6972,mineral oil
1487519,vilanterol
1487519,umeclidinium
402092,cyclosporine
1094109,phenazopyridine
237788,leucovorin
2206092,insulin; regular; human
211815,levofloxacin
885859,balsalazide
809030,hydrochlorothiazide
809030,valsartan
2375141,daratumumab
2375141,hyaluronidase
544840,doxycycline
1658303,potassium chloride
2560250,lidocaine
1796730,ephedrine
141860,lindane
643722,lenalidomide
1799310,doxorubicin
825321,acyclovir
208104,tranexamic acid
285128,bimatoprost
284408,zonisamide
654245,lactobacillus acidophilus
849049,lamotrigine
1599557,edoxaban
1423423,vitamin b12
608343,calcium carbonate
608343,cholecalciferol
211140,pentosan polysulfate
1360954,pramoxine
1360954,hydrocortisone
1111345,olopatadine
901401,doxycycline
1484963,prothrombin
1484963,protein s
1484963,factor ix
1484963,factor vii
1484963,factor x
1484963,protein c
1718907,dexmedetomidine
477589,propylene glycol
477589,polyethylene glycol 400
1592257,levomefolate
966420,levothyroxine
261108,fentanyl
213291,paroxetine
105930,piroxicam
211691,omeprazole
352132,levalbuterol
213071,sennosides; usp
2587899,nirmatrelvir
2587899,ritonavir
352050,tenofovir disoproxil
311355,lithium carbonate
687022,alprazolam
2110513,salmeterol
2110513,fluticasone
996634,memantine
198555,capsaicin
284245,famotidine
197517,clarithromycin
198538,calcium citrate
311625,methotrexate
836395,tramadol
836395,acetaminophen
833036,acetaminophen
833036,hydrocodone
1721690,epoetin alfa
314152,octreotide
1659263,heparin
654238,lactobacillus acidophilus
5781,indomethacin
847232,insulin glargine
1545664,empagliflozin
210673,trandolapril
805678,baclofen
215497,sodium chloride
1115570,thioctate
312563,povidone-iodine
1812079,dexamethasone
615111,glucose
615111,potassium chloride
615111,sodium chloride
310297,fentanyl
310489,glipizide
204508,flumazenil
2594753,ranolazine
206791,mesalamine
860695,galantamine
312447,tazobactam
312447,piperacillin
476179,clozapine
208601,dexamethasone
208601,neomycin
208601,polymyxin b
858824,enalapril
858824,hydrochlorothiazide
616830,budesonide
282648,evening primrose oil
311288,levetiracetam
2600782,magnesium carbonate
858751,ursodeoxycholate
647346,niacin
1945048,vilanterol
1945048,umeclidinium
1945048,fluticasone
829993,cholecalciferol
1251596,interferon alfa-2b
793872,isosorbide dinitrate
6932,miconazole
1928941,glutamine
1191309,fluocinolone
104206,digoxin
616161,deferasirox
861222,dextroamphetamine
861222,amphetamine
686452,petrolatum
1153768,betamethasone
1153768,clotrimazole
636045,hydrochlorothiazide
636045,valsartan
1151155,diclofenac
807277,diphtheria toxoid vaccine; inactivated
807277,tetanus toxoid vaccine; inactivated
384410,ethinyl estradiol
384410,norethindrone
72302,ropinirole
993449,denosumab
4603,furosemide
313387,thyroid (usp)
5093,haloperidol
483444,pregabalin
1116632,ticagrelor
808917,fosfomycin
197737,glyburide
310014,dornase alfa
42955,levocarnitine
1807511,vancomycin
351172,dutasteride
483442,pregabalin
48937,dexmedetomidine
25025,finasteride
252761,ubidecarenone
313581,venlafaxine
7299,neomycin
998704,calcium carbonate
214618,lisinopril
214618,hydrochlorothiazide
832077,oregano oil
253039,melatonin
884534,dextroamphetamine
242816,gentamicin
687023,alprazolam
707359,sodium chloride
205621,doxycycline
847199,insulin isophane
1547773,tetracaine
1539891,vilanterol
1539891,fluticasone
1947133,triamcinolone
1608815,isavuconazonium
1049908,diphenhydramine
108896,apraclonidine
103943,ciprofloxacin
2002002,daunorubicin
1007946,vitamin b12
1007946,ascorbic acid
1007946,iron carbonyl
1007946,folic acid
1007946,docusate
201849,vancomycin
605730,metronidazole
8928,psyllium
1191513,bupivacaine
206917,ibuprofen
897661,verapamil
210318,simethicone
725043,trolamine salicylate
754890,6-aminocaproic acid
1737554,zinc oxide
1737554,petrolatum
966202,levothyroxine
310621,guaifenesin
1092189,acetaminophen
1092189,diphenhydramine
2583730,clavulanate
2583730,amoxicillin
750839,erythromycin
1739778,brivaracetam
310172,estradiol
201338,nadolol
835809,testosterone
2049888,vancomycin
1725175,bupivacaine
749206,sevelamer
1246319,formoterol
1362214,albuterol
1362214,ipratropium
410584,sertraline
1945074,magnesium sulfate
260265,insulin lispro protamine; human
260265,insulin lispro
310293,fentanyl
1944785,lesinurad
1944785,allopurinol
898614,hydromorphone
259081,aspirin
259081,dipyridamole
1807518,vancomycin
1876012,levetiracetam
104514,albuterol
245323,bisacodyl
1303131,prednisone
309683,tobramycin
309683,dexamethasone
1545295,lidocaine
103951,tolnaftate
203857,methylprednisolone
1291085,hydrocortisone
763306,pantoprazole
1049637,acetaminophen
1049637,oxycodone
856987,acetaminophen
856987,hydrocodone
314034,haloperidol
861370,sevelamer
1859000,lixisenatide
1859000,insulin glargine
884675,propofol
310294,fentanyl
1799218,sofosbuvir
1799218,velpatasvir
1116372,sodium chloride
857383,acetaminophen
857383,hydrocodone
1666831,fentanyl
902729,hydromorphone
831074,threonine
831074,tryptophan
831074,arginine
831074,tyrosine
831074,valine
831074,sodium phosphate; dibasic
831074,alanine
831074,glycine
831074,histidine
831074,isoleucine
831074,leucine
831074,lysine
831074,magnesium chloride
831074,methionine
831074,phenylalanine
831074,potassium chloride
831074,proline
831074,serine
831074,sodium chloride
904880,buprenorphine
597987,amlodipine
597987,atorvastatin
637540,aspirin
637540,oxycodone
1431980,tacrolimus
1087926,ketamine
900138,hypromellose
900138,dextran 70
900138,glycerin
1012431,bupivacaine
205912,epoetin alfa
847673,levetiracetam
836408,tramadol
1430122,paroxetine
227058,nifedipine
1726204,cilastatin
1726204,imipenem
905156,amikacin
1362824,heparin
308085,aluminum hydroxide
308085,magnesium hydroxide
602635,lanthanum carbonate
672558,loratadine
430837,acetaminophen
996597,memantine
977890,furosemide
977890,amiloride
205843,sulbactam
205843,ampicillin
2003796,lamotrigine
2263078,sodium bicarbonate
1605773,ketamine
1052658,etravirine
2474269,fentanyl
425723,acetaminophen
2380268,insulin lispro
1053658,fentanyl
2598700,sars-cov-2 (covid-19) vaccine; mrna spike protein
896004,fluticasone
1483574,docusate
1535224,dexmedetomidine
1673024,magnesium citrate
895185,morphine
238270,hyaluronidase
198186,quinine
895215,morphine
864984,methadone
692576,esomeprazole
1492387,calcium carbonate
1492387,simethicone
1049589,ibuprofen
1049589,oxycodone
884227,clonidine
1012108,bupivacaine
1012108,lidocaine
2474264,oxymetazoline
993856,lacosamide
998426,acyclovir
998426,hydrocortisone
2173662,triprolidine
2173662,acetaminophen
2173662,dextromethorphan
2173662,phenylephrine
1303736,morphine
750215,amlodipine
750215,atorvastatin
106892,insulin isophane
106892,insulin; regular; human
797463,thiamine
797463,vitamin a
797463,vitamin b12
797463,vitamin e
797463,zinc oxide
797463,ascorbic acid
797463,biotin
797463,calcium carbonate
797463,cupric oxide
797463,ferrous fumarate
797463,vitamin b6
797463,folic acid
797463,magnesium oxide
797463,niacinamide
797463,pantothenic acid
797463,riboflavin
858599,nicardipine
1731520,morphine
360110,sirolimus
4832,glucagon
1300205,acellular pertussis vaccine; inactivated
1300205,diphtheria toxoid vaccine; inactivated
1300205,tetanus toxoid vaccine; inactivated
2475337,norepinephrine
1723206,alfentanil
1049074,petrolatum
403966,zonisamide
1098141,niacin
966529,budesonide
2533434,phenylephrine
283858,ropinirole
1088443,6-o-palmitoylascorbic acid
1088443,ubidecarenone
1088443,alpha tocopherol
1088443,levocarnitine
860522,carvedilol
992701,chlorpromazine
1116145,ephedrine
1116145,guaifenesin
836485,tramadol
2001434,lidocaine
833234,mesalamine
603112,lanthanum carbonate
998679,clonidine
313072,sodium polystyrene sulfonate
242698,vitamin b12
1439808,vortioxetine
643074,darunavir
4850,glucose
637168,zinc oxide
1053753,triamcinolone
1053753,nystatin
2047621,epoetin alfa
312847,ropinirole
197636,dronabinol
1827,buspirone
1000091,doxepin
597770,deferasirox
349434,voriconazole
644088,aprepitant
1809456,immunoglobulin g
1009456,botulinum toxin type a
896231,salmeterol
896231,fluticasone
905158,sirolimus
824303,rufinamide
485440,eszopiclone
854894,zolpidem
1804735,argatroban
1720977,gemcitabine
763103,poliovirus vaccine inactivated; type 1 (mahoney)
763103,poliovirus vaccine inactivated; type 2 (mef-1)
763103,poliovirus vaccine inactivated; type 3 (saukett)
866905,colesevelam
309049,cefadroxil
314266,tacrolimus
1547663,fluticasone
238014,carboprost
349553,aripiprazole
858036,saxagliptin
242706,epoetin alfa
1738586,hydrocortisone
1811255,ustekinumab
1807548,sodium chloride
562806,pimecrolimus
800988,sodium acetate
800988,sodium gluconate
800988,magnesium chloride
800988,potassium chloride
800988,sodium chloride
998442,miconazole
1366550,budesonide
308760,bismuth subsalicylate
312132,oxaprozin
310687,hydrocortisone
310687,neomycin
310687,polymyxin b
204625,riboflavin
1307419,linaclotide
1809097,sufentanil
1789950,botulinum toxin type a
855657,diclofenac
1809421,immunoglobulin g
1048411,hyoscyamine
1876502,haloperidol
1313925,thiamine
1313925,vitamin b12
1313925,zinc oxide
1313925,ascorbic acid
1313925,calcium carbonate
1313925,beta carotene
1313925,alpha tocopherol
1313925,cholecalciferol
1313925,ferrous fumarate
1313925,folic acid
1313925,pantothenate
1313925,pyridoxine
1313925,niacinamide
1313925,docusate
1313925,riboflavin
998501,miconazole
1100066,famotidine
1100066,ibuprofen
308892,calcium carbonate
1545290,lidocaine
198911,zinc oxide
352188,tegaserod
2184394,hypochlorite
892352,morphine
1870205,epinephrine
855906,diclofenac
313233,testosterone
1119312,hydroxychloroquine
2043306,rabies immune globulin; human
311381,loteprednol etabonate
597722,ribavirin
206765,lisinopril
998422,acyclovir
998422,hydrocortisone
1365844,oxcarbazepine
1537194,benzethonium
1537194,diphenhydramine
1537194,hydrocortisone
1659967,acetaminophen
1659967,dextromethorphan
1659967,phenylephrine
1303125,prednisone
2370236,propofol
849331,tramadol
861358,fondaparinux
630939,hyaluronidase
310933,hypromellose
312010,nitroglycerin
1536914,calcium gluconate
1604539,insulin glargine
199775,midazolam
860114,ketorolac
1731315,insulin; regular; human
831261,cromolyn
1053661,fentanyl
1300368,acellular pertussis vaccine; inactivated
1300368,diphtheria toxoid vaccine; inactivated
1300368,tetanus toxoid vaccine; inactivated
1602013,glycerin
1602013,lidocaine
1235450,aluminum magnesium silicate
1235450,magnesium hydroxide
1235450,simethicone
855861,phenytoin
1432261,acetaminophen
1432261,caffeine
1432261,butalbital
2390946,risdiplam
1721475,ampicillin
1100702,linagliptin
1486763,calcium gluconate
999967,amlodipine
999967,olmesartan
999967,hydrochlorothiazide
351247,darbepoetin alfa
404472,magnesium carbonate
404472,aluminum hydroxide
1539251,umeclidinium
1435115,teriparatide
403957,tadalafil
2263892,lidocaine
1359105,diclofenac
1359105,misoprostol
1300377,acellular pertussis vaccine; inactivated
1300377,diphtheria toxoid vaccine; inactivated
1300377,tetanus toxoid vaccine; inactivated
314286,ziprasidone
1738503,paroxetine
579907,carboxymethylcellulose
2390940,risdiplam
1251912,rotigotine
856556,propranolol
312817,ribavirin
790288,desvenlafaxine
314228,sildenafil
835837,urea
1247759,docusate
1738805,paroxetine
308972,carbamazepine
237982,sincalide
1744003,emtricitabine
1744003,tenofovir disoproxil
433733,esomeprazole
2196900,upadacitinib
898348,amlodipine
898348,benazepril
2050057,hepatitis b surface antigen vaccine
1245230,chlorhexidine
746073,lithium aspartate
1728079,pemetrexed
92881,insulin; regular; human
802762,vitamin b12
802762,calcium ascorbate
802762,calcium threonate
802762,succinic acid
802762,ferrous asparto glycinate
802762,liver stomach concentrate
1013647,chondroitin sulfates
1013647,glucosamine
1790095,doxorubicin
1494206,zinc oxide
1299626,sodium chloride
1599553,edoxaban
996742,memantine
1191264,tretinoin
1191264,fluocinolone
1191264,hydroquinone
11065,ursodeoxycholate
70561,palonosetron
311913,naproxen
898372,benazepril
898372,hydrochlorothiazide
905028,risedronate
483425,fenofibrate
283742,esomeprazole
748961,norethindrone
36676,sodium bicarbonate
8134,phenobarbital
1155667,bacitracin
6719,memantine
1053346,magnesium sulfate
1046986,hyoscyamine
211148,albendazole
1011703,lidocaine
1597134,testosterone
245208,lysine
830898,diltiazem
3648,droperidol
1251323,ethinyl estradiol
1251323,norethindrone
861663,nitroglycerin
1011833,lidocaine
541963,sevoflurane
1011485,cetirizine
905189,ropivacaine
800216,threonine
800216,tryptophan
800216,arginine
800216,tyrosine
800216,valine
800216,aspartate
800216,alanine
800216,glycine
800216,histidine
800216,isoleucine
800216,leucine
800216,lysine
800216,methionine
800216,glutamate
800216,phenylalanine
800216,proline
800216,serine
484925,vitamin b12
484925,vitamin b6
484925,folic acid
24942,ferrous gluconate
702296,doxycycline
1090577,zinc oxide
995668,meclizine
1375922,bromfenac
35636,risperidone
2267554,dextran 70
2267554,tetrahydrozoline
2267554,polyethylene glycol 400
2267554,povidone
198507,biotin
212219,epoetin alfa
2475340,norepinephrine
748746,clindamycin
885207,benztropine
905369,chlordiazepoxide
1738590,hydrocortisone
313926,cefuroxime
1293103,glycerin
68149,mycophenolate mofetil
1999031,metoprolol
1551304,dulaglutide
856944,acetaminophen
856944,hydrocodone
1087365,hyoscyamine
1087365,sodium phosphate; monobasic
1087365,phenyl salicylate
1087365,methenamine
1087365,methylene blue
238135,aspirin
238135,caffeine
238135,butalbital
308511,bacitracin
308511,polymyxin b
403810,aprepitant
1111106,fidaxomicin
731176,darbepoetin alfa
308382,ascorbic acid
861960,armodafinil
1944529,oxycodone
245473,ascorbic acid
312068,octreotide
387013,nebivolol
903456,liothyronine
349197,clonazepam
2591786,citalopram
313797,amoxicillin
866021,cyproheptadine
731000,magnesium trisilicate
731000,aluminum hydroxide
1236277,mineral oil; light
1236277,mineral oil
308852,cadexomer iodine
858342,diclofenac
835913,mefloquine
1485599,guaifenesin
1485599,phenylephrine
2589274,glycopyrronium
376511,methyl salicylate
376511,menthol
309913,dimenhydrinate
1098143,niacin
1596780,testosterone
727995,sodium bicarbonate
199264,amphotericin b
309028,cascara sagrada
808751,venlafaxine
833709,tramadol
1946527,tramadol
308072,magnesium carbonate
308072,aluminum hydroxide
1442442,calcium carbonate
1442442,cholecalciferol
905462,levothyroxine
885209,benztropine
2122356,dextromethorphan
2122356,guaifenesin
465355,voriconazole
197502,chlorzoxazone
1095421,ferrous sulfate
212470,thiamine
880838,melatonin
2586589,baclofen
1088800,calcium carbonate
1088800,cholecalciferol
905451,levothyroxine
1944264,simvastatin
403878,imatinib
864714,methadone
1551917,naloxegol
1116499,pramoxine
1116499,hydrocortisone
1668264,erythromycin
1656340,sacubitril
1656340,valsartan
2123165,ferrous sulfate
433799,alprazolam
1801142,doxycycline
996624,memantine
2594600,lorazepam
1790245,clevidipine
1807888,metformin
2553601,semaglutide
477130,hydrochlorothiazide
477130,telmisartan
2123194,tadalafil
1191128,edrophonium
2171111,vitamin e
1150067,chondroitin sulfates
1150067,glucosamine
799034,ciclesonide
977942,oxymorphone
1087026,diphenhydramine
1087026,zinc acetate
312138,oxcarbazepine
849279,propoxyphene
204442,ibuprofen
2605100,influenza a virus (h1n1) antigen
2605100,influenza a virus (h3n2) antigen
2605100,influenza b virus antigen
1094126,phenazopyridine
311759,montelukast
313306,theophylline
1149632,estradiol
1656349,sacubitril
1656349,valsartan
197815,indapamide
889614,clidinium
889614,chlordiazepoxide
2184142,relebactam
2184142,cilastatin
2184142,imipenem
966793,doxepin
1606308,biotin
198175,propylthiouracil
705726,vitamin a
705726,cholecalciferol
855499,lipase
855499,amylase
855499,protease
1653223,etanercept
283671,methotrexate
313518,trolamine salicylate
1038957,lanolin
1300793,mirabegron
1495161,ketoconazole
218351,salmon calcitonin
203576,loratadine
617308,clavulanate
221017,abacavir
497184,abacavir
497184,lamivudine
668469,loratadine
896229,salmeterol
896229,fluticasone
805661,armodafinil
995613,ferrous sulfate
754766,metronidazole
541713,ibuprofen
1302281,docusate
755478,loratadine
2180336,darolutamide
485550,ergocalciferol
485550,calcium citrate
1722689,aspirin
1722689,calcium carbonate
997951,vitamin b12
997951,vitamin b6
997951,folic acid
246252,sulfamethoxazole
246252,trimethoprim
1053666,fentanyl
1667668,cariprazine
1012966,lidocaine
204760,magnesium hydroxide
310877,hydrocortisone
757676,amlodipine
198108,piroxicam
199172,vitamin b6
199172,melatonin
387007,clonazepam
2549333,pegfilgrastim
1542390,buprenorphine
1542390,naloxone
205917,epoetin alfa
1358512,methylprednisolone
2109088,epinephrine
205168,cyclosporine
1438107,calcium carbonate
1438107,magnesium hydroxide
1595476,lipase
1595476,amylase
1595476,protease
855474,alclometasone
900528,aspirin
900528,caffeine
583453,ziconotide
861785,pioglitazone
861785,metformin
1608499,epinephrine
1608499,lidocaine
1732161,botulinum toxin type a
1248022,docusate
6417,thioctate
1011739,aliskiren
1665497,levofloxacin
800531,ferrous sulfate
1809520,immunoglobulin g
1598808,melatonin
892643,morphine
802550,amoxicillin
2541518,deutetrabenazine
1806890,lisinopril
892279,levothyroxine
105552,carmustine
153353,zolmitriptan
669131,guaifenesin
284530,nateglinide
905041,risedronate
284529,nateglinide
727545,filgrastim
196502,lamotrigine
1922784,timolol
1922784,dorzolamide
314155,olanzapine
1376076,plant stanol ester
1297990,ubidecarenone
1361023,phentolamine
1164112,miconazole
197973,methylprednisolone
847917,exenatide
4094,estriol
200015,inositol
200015,niacin
1243393,calcium carbonate
1243393,cholecalciferol
248506,cholecalciferol
105467,alprostadil
1597127,testosterone
1099290,desipramine
1244021,cholecalciferol
1244021,tricalcium phosphate
311166,isoniazid
1790890,vortioxetine
977929,oxymorphone
312255,penciclovir
2123111,albuterol
73137,tirofiban
38413,torsemide
759743,desogestrel
759743,ethinyl estradiol
759743,inert ingredients
849742,benzocaine
849742,resorcinol
2603740,molnupiravir
1100079,abiraterone
389132,budesonide
389132,formoterol
404773,amlodipine
404773,atorvastatin
2536742,baloxavir marboxil
1811257,ustekinumab
891820,vitamin e
891820,lutein
891820,zinc oxide
891820,ascorbic acid
891820,cuprous oxide
904170,primaquine
213073,sennosides; usp
834243,febuxostat
1428622,acetaminophen
1428622,butalbital
1191313,fluocinolone
1090559,octreotide
978013,loperamide
746812,mometasone
854834,lisdexamfetamine
794236,calcium gluconate
312076,olanzapine
1293268,aluminum sulfate
1293268,calcium acetate
1868473,sodium bicarbonate
197476,chlorothiazide
200317,soybean oil
6813,methadone
199374,vitamin b12
2377353,methotrexate
1248077,alendronate
1441188,lactobacillus acidophilus
1738515,paroxetine
1006107,sulfacetamide
1243827,sitagliptin
1243827,metformin
313220,terazosin
866049,salmeterol
1738536,betamethasone
905516,chlordiazepoxide
1604352,lenvatinib
151558,losartan
284059,ginger root
19860,butalbital
358255,aprepitant
577196,linseed oil
237393,potassium gluconate
260852,niacin
236608,glucosamine
152951,ropinirole
