TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
ENC,CURRAMB,TEXT,Current ambulatory status
ENC,DISMODTHP,TEXT,Disease modifying therapy
ENC,DISPROREV,BOOLEAN,Disease progression reversed
ENC,DOB,TEXT,Date of Birth
ENC,DOB_P,TEXT,"Precision of date measurements (whether is recorded to the level of a year, month or day)"
ENC,DRSHYGN,TEXT,ALSFRS Score of dressing and hygiene (4=normal)
ENC,DSTYPE,TEXT,Disease Type
ENC,DYSPHAGIA,TEXT,Difficulty swallowing
ENC,DYSPNEA,TEXT,ALSFRS Score of dyspnea (4=none)
ENC,ENCNTDT,TEXT,Encounter Date
ENC,ENCNTDT_P,TEXT,Precision of Encounter Date
ENC,FACILITY_DISPLAY_ID,TEXT,Facility identifier
ENC,FACPATID,TEXT,Facility-Patient ID
ENC,FEEDMTHD,TEXT,Feeding Method
ENC,FEV1RSLT,NUMBER,FEV1 Result (L/sec)
ENC,FSTNIV,BOOLEAN,Use of non-invasive ventilation
ENC,FSTNIVDT,TEXT,First use of non-invasive ventilation date
ENC,FSTNIVDT_P,TEXT,"Precision of first use of NIV date measurement (whether recorded to level of year, month, or day)"
ENC,FVCPCTPD,NUMBER,FVC Percent Predicted (%)
ENC,FVCRSLT,NUMBER,FVC Result (L)
ENC,GENDER,TEXT,Gender Type
ENC,GSTRMY,BOOLEAN,Gastrostomy
ENC,GSTRMYDT,TEXT,Date of gastrostomy
ENC,GSTRMYDT_P,TEXT,"Precision of gastrostomy date measurement (whether recorded to level of year, month, or day)"
ENC,GSTRSTMY,TEXT,Gastrostomy (response determines which ALSFRS Score question to answer)
ENC,HANDWRIT,TEXT,ALSFRS Score of handwriting (4=normal)
ENC,HEIGHT,NUMBER,Patient Height
ENC,HEIGHT_U,TEXT,Height units
ENC,HOSPREV,BOOLEAN,Hospitalization list reviewed
ENC,HOSPVIS,TEXT,Hospitalization since last visit
ENC,HT_MSURE,TEXT,Height Measured Method
ENC,HTMSRD,BOOLEAN,Height Measured
ENC,MEDCHNGE,TEXT,Medications changes since last visit
ENC,MEDREV,BOOLEAN,Medication list reviewed
ENC,MEDVIS,TEXT,Medication since last visit
ENC,MEPRSLT,NUMBER,MEP Result (cm H2O)
ENC,METHENC,TEXT,Encounter Method
ENC,MIPRSLT,NUMBER,MIP Result (cm H2O)
ENC,MLTCRPL,TEXT,Multidisciplanary care plan
ENC,MNTLST,BOOLEAN,Mental status
ENC,MNTSTTST,TEXT,Type of mental status test
ENC,MNTTSCORE,NUMBER,Mental status test score
ENC,MNTTSTOT,TEXT,Other mental status test
ENC,MOBVIS,TEXT,Assistive devices change since last visit
ENC,MOCASCORE,NUMBER,Montreal Cognitive Assessment Score
ENC,MVVRSLT,NUMBER,MVV Result (L/min)
ENC,NONIVVENTYN,TEXT,Non-invasive ventilation use
ENC,NUTRTHRP,TEXT,Nutritional Supplementation
ENC,ORTHPNEA,TEXT,ALSFRS Score of orthopnea (4=none)
ENC,OTHMETHENC,TEXT,"Encounter Method,Other"
ENC,OTHMSURE,TEXT,"Height Measured Method,Other"
ENC,PATIENT_DISPLAY_ID,NUMBER,"Patient identifier, unique only within the same facility"
ENC,PCFRSLT,NUMBER,PCF Result (L/min)
ENC,PEFRSLT,NUMBER,PEF Result (L/min) 
ENC,PEFRSLTSC,NUMBER,PEF Result (L/sec)
ENC,PFTEST,TEXT,Pulmonary function test
ENC,PFTFEV1,NUMBER,Forced Expiratory Volume in 1 second (FEV1)
ENC,PFTFVC,NUMBER,Forced Vital Capacity (FVC)
ENC,PFTMEP,NUMBER,Maximum Expiratory Pressure (MEP)
ENC,PFTMIP,NUMBER,Maximum Inspiratory Pressure (MIP)
ENC,PFTMVV,NUMBER,Maximal Volume of Ventilation (MVV)
ENC,PFTPEF,NUMBER,PEF Peak Expiratory Flow
ENC,PFTSNIP,NUMBER,Sniff Nasal Inspiratory Pressure (SNIP)
ENC,PFTSVC,NUMBER,Slow Vital Capacity (sVC)
ENC,PFTTSTDT,TEXT,Pulmonary Function Test Date
ENC,PFTTSTDT_P,TEXT,Precision of Pulmonary Function Test Date
ENC,PRVCLNTR,TEXT,Previous participation in other clinical research
ENC,PTSN,TEXT,Visit Seen by
ENC,PTSOT,TEXT,"Pulmonary Testing, Other"
ENC,PULMDVC,BOOLEAN,Pulmonary device current use
ENC,PULMDVCCHNGE,TEXT,Pulmonary device changes since last visit
ENC,PULREV,BOOLEAN,Pulmonary Device list reviewed
ENC,PULVIS,TEXT,Pulmonary devices change since last visit
ENC,REFROTH,TEXT,"Patient Referred to, Other"
ENC,RESPINSF,TEXT,ALSFRS Score for respiratory insufficiency (4=none)
ENC,RFRTO,TEXT,Patient Referred to
ENC,RSPNDBY,TEXT,Responses provided by whom
ENC,SLVATN,TEXT,ALSFRS Score for salivation (4=normal)
ENC,SNBYOTH,TEXT,"Visit Seen by, Other"
ENC,SNIPRSLT,NUMBER,SNIP Result (cm H2O)
ENC,SPCHLOSS,BOOLEAN,Loss of speech
ENC,SPCHLSDT,TEXT,Date of speech loss
ENC,SPCHLSDT_P,TEXT,"Precision of speech loss date measurement (whether recorded to level of year, month, or day)"
ENC,SPEECH,TEXT,ALSFRS Score for speech (4=normal)
ENC,SUPFLT,NUMBER,Supine FVC Result (L/min)
ENC,SUPFPD,NUMBER,Supine FVC Percent Predicted (%)
ENC,SUPFVC,NUMBER,Supine FVC Supine Forced Vital Capacity
ENC,SVCPCTPD,NUMBER,sVC Percent Predicted (%)
ENC,SVCRSLT,NUMBER,sVC Result (L) 
ENC,SWALLOW,TEXT,ALSFRS Score for swallowing (4=normal)
ENC,SYMPTHRPY,TEXT,Symptom therapy
ENC,SYMRESINS,TEXT,Symptom resolution intervention
ENC,TRACH,BOOLEAN,Tracheostomy
ENC,TRACHDT,TEXT,Tracheostomy Date
ENC,TRACHDT_P,TEXT,Precision of Tracheostomy Date
ENC,TRACHVENTYN,TEXT,Tracheostomy with invasive ventilation use
ENC,TRTRESSUPP,TEXT,Respiratory support discussed
ENC,TURNBED,TEXT,ALSFRS Score for turning in bed (4=normal)
ENC,UNASISPCF,NUMBER,PCF Unassisted Peak Cough Flow
ENC,WALKING,TEXT,ALSFRS Score for walking (4=normal)
ENC,WGSTRTY,TEXT,ALSFRS Score for handling food with gastrostomy (4=normal)
ENC,WGT,NUMBER,Patient Weight
ENC,WGT_U,TEXT,Weight units
ENC,WOGSTRTY,TEXT,ALSFRS Score for handling food without gastrostomy (4=normal)
ENC,WTMSRD,BOOLEAN,Weight Measured
LOG,CASE_ID,NUMBER,"Case identifier, unique for each case only within the same facility"
LOG,DOB,TEXT,Date of Birth
LOG,DOB_P,TEXT,"Precision of date measurements (whether is recorded to the level of a year, month or day)"
LOG,DSTYPE,TEXT,Disease Type
LOG,FACILITY_DISPLAY_ID,NUMBER,Facility identifier
LOG,FACPATID,TEXT,Facility-Patient ID
LOG,FEEDTUBPL,BOOLEAN,Feeding Tube Placement
LOG,GENDER,TEXT,Gender Type
LOG,HERNREPR,BOOLEAN,Hernia Repair Surgery
LOG,ICDPLAC1,BOOLEAN,ICD Placement
LOG,OTHSURG,BOOLEAN,"Surgery, Other"
LOG,PATIENT_DISPLAY_ID,NUMBER,"Patient identifier, unique only within the same facility"
LOG,RVWDT,TEXT,Last review Date
LOG,RVWDT_P,TEXT,"Precision of last review date measurement (year, month, or day)"
LOG,RVWDT2,TEXT,Last review Date
LOG,RVWDT2_P,TEXT,"Precision of last review date measurement (year, month, or day)"
LOG,RVWDT3,TEXT,Last review Date
LOG,RVWDT3_P,TEXT,"Precision of last review date measurement (year, month, or day)"
LOG,RVWDT6,TEXT,Last review Date
LOG,RVWDT6_P,TEXT,"Precision of last review date measurement (year, month, or day)"
LOG,RVWDT9,TEXT,Last review Date
LOG,RVWDT9_P,TEXT,"Precision of last review date measurement (year, month, or day)"
LOG,SCAPFIXTN,BOOLEAN,Scapular Fixation Surgery
LOG,SCLIOSIS,BOOLEAN,Scoliosis Surgery
LOG,TENDRELSURG,BOOLEAN,Tendon Release Surgery
LOG,TRACH,BOOLEAN,Tracheostomy
