EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
NCD024644494,ABC ONE HOUR CLEANERS,JACKSONVILLE,ONSLOW,NC,2127 LE JEUNE BLVD., 28540 ,R04,Final NPL,No,No,No,Yes,Yes,Yes,8/8/2002,,,,Active,Other,Retail/commercial,,No,,29.11,No,"ABC ONE HOUR CLEANERS, ABC ONE HOUR CLEANERS",1/16/1985,www.epa.gov/superfund/abc-one-hour-cleaners,
NCN000407447,ABERDEEN CONTAMINATED GROUND WATER,ABERDEEN,MOORE,NC,"HWY 211, OLD PEE DEE RD, BLUES BRG RD", 28315 ,R04,Final NPL,No,No,No,No,No,No,,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,50,No,"POWDER METALS PRODUCTS, ABERDEEN CONTAMINATED GROUNDWATER, ABERDEEN CONTAMINATED GROUND WATER, ABERDEEN GROUND WATER CONTAMINATION, ABERDEEN GROUNDWATER CONTAMINATION",4/15/2002,www.epa.gov/superfund/aberdeen-contaminated-groundwater,
NCD980843346,ABERDEEN PESTICIDE DUMPS,ABERDEEN,MOORE,NC,OFF HWY 5 W, 28315 ,R04,Final NPL,No,No,Yes,Yes,Yes,Yes,9/30/2003,,,,Active,Waste Management,Illegal disposal/open dump,,No,,52.7,No,"MCIVER PESTICIDE SITE, ROUTE 211, ABERDEEN PESTICIDES TWIN SITES, RT.211-ABERDEEN PESTICIDES, FARM CHEMICAL, ABERDEEN PESTICIDE DUMPS, FAIRWAY SIX, ABERDEEN PESTICIDE DUMPS",[Blank Date],www.epa.gov/superfund/aberdeen-pesticide-dumps,
MD2210020036,ABERDEEN PROVING GROUND (EDGEWOOD AREA),EDGEWOOD,HARFORD,MD,OFF RTE 40, 21010 ,R03,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Manufacturing/Processing/Maintenance,Ordnance production,Department of Defense,No,,53.57,Yes,"ABERDEEN PROVING GROUND (EDGEWOOD AREA), USA ABERDEEN PROVING GROUND, ABERDEEN PROVING GROUND (EDGEWOOD AREA), ABERDEEN PROVING GROUND (EDGEWOOD AREA), USA EDGEWOOD ARSENAL, US COAST GUARD - UPPER CHESAPEAKE RANGE, US COAST GUARD-POOLE ISLAND RANGE",1/25/1980,www.epa.gov/superfund/aberdeenprovingground-edgewoodarea,
MD3210021355,ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL),ABERDEEN,HARFORD,MD,OFF RTE 40, 21005 ,R03,Final NPL,No,No,No,Yes,Insufficient Data,Yes,6/11/2001,,,,Active,Waste Management,Industrial waste landfill,Department of Defense,No,,31.09,Yes,"ABERDEEN PROVING GROUND (MICHAESLVILLE L, USA EDGEWOOD ARSENAL, ABERDEEN PROVING GROUND(MICHAELSVILLE LF, ABERDEEN PROVING GROUND(MICHAELSVILLE LF, ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL), US COAST GUARD - UPPER CHESAPEAKE RANGE, US COAST GUARD - POOLE ISLAND RANGE, USA EDGEWOOD ARSENAL",5/1/1981,www.epa.gov/superfund/aberdeenprovingground-michaelsvillelandfill,
VAD980551683,ABEX CORP.,PORTSMOUTH,PORTSMOUTH CITY,VA,RANDOLPH + GREEN ST, 23704 ,R03,Final NPL,No,No,Yes,Yes,Yes,Yes,9/11/2022,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,Yes,Nansemond Indian Nation(Current),36.53,No,"ABEX CORP, ABEX CORP, ABEX CORP.",6/1/1981,www.epa.gov/superfund/abex,
KSD046746731,ACE SERVICES,COLBY,THOMAS,KS,345 CONVESSE, 67701 ,R07,Final NPL,No,No,Yes,Yes,Yes,Yes,9/22/2003,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,50,No,"ACE SERVICES, COLBY PWS WELL #8 (FINDS)",8/1/1980,www.epa.gov/superfund/aceservices,
MTD093291599,ACM SMELTER AND REFINERY,BLACK EAGLE,CASCADE,MT,"RIVER ROAD NORTH, 1 MILE E. OF 15TH ST", 59414 ,R08,Final NPL,No,No,No,No,Insufficient Data,No,,,,,Active,"Manufacturing/Processing/Maintenance, Mining","Primary metals/mineral processing, Mineral Processing/Smelting Only",,No,,54.26,No,"ANACONDA COPPER & ZINC REF, ACM SMELTER AND REFINERY, ACM SMELTER AND REFINERY, ANACONDA MINERALS CO, GREAT FALLS REF, AMC GREAT FALLS REFINERY",8/1/1980,www.epa.gov/superfund/acm-smelter,
ILD053219259,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,WINNEBAGO,IL,EAST OF LINDENWOOD RD, 61109 ,R05,Final NPL,No,No,No,Yes,Yes,Yes,7/13/1998,,,,Active,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",,No,,31.98,No,"MORRISTOWN PLANT, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT), ACME SOLVENT RECLAIMING(MORRISTOWN PLANT, ACME SOLVENT RECLAIMERS INC, ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT), ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC",[Blank Date],www.epa.gov/superfund/acme-solvent-reclaiming,
ILN000509241,ACME STEEL COKE PLANT,CHICAGO,COOK,IL,11236 SOUTH TORRENCE AVE., 60617 ,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,No,,,,,Active,Manufacturing/Processing/Maintenance,Coke production,,No,,30,No,,[Blank Date],www.epa.gov/superfund/acme-steel-coke,
NYD072366453,"ACTION ANODIZING, PLATING, & POLISHING CORP.",COPIAGUE,SUFFOLK,NY,33 DIXON AVE., 11701 ,R02,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,6/30/1992,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,,No,"ACTION ANODIZING, PLATING, AND POLISHING, ACTION ANODIZING, PLATING, & POLISHING CORP., ACTION ANODIZING & PLATING, ACTION ANODIZING PLATING AND POLISHING, ACTION ANODIZING, PLATING, & POLISHING",[Blank Date],www.epa.gov/superfund/action-anodizing,
AK4170024323,ADAK NAVAL AIR STATION,ADAK,[Blank County],AK,ADAK IS, 99546 ,R10,Final NPL,No,No,No,Yes,Yes,No,,,,,Active,Other,Military/Other Ordinance,Department of Defense,No,,51.37,Yes,"ADAK NAVAL AIR STATION, ADAK NAVAL AIR STATION, ADAK WHITE ALICE SITE, USNAVY ADAK NAVAL FACILITY, USNAVY ADAK NAVAL AIR STATION, USAF - WHITE ALICE ANTENNA SITE - ADAK, USNAVY ADAK NAVAL FACILITY, WHITE ALICE ANTENNA SITE - ADAK, ADAK NAVAL STATION, ADAK NAVAL AIR STATION",6/1/1981,www.epa.gov/superfund/adak-nas,
MID006522791,ADAM'S PLATING,LANSING,INGHAM,MI,521 NORTH ROSEMARY, 48917 ,R05,Final NPL,No,No,No,No,Insufficient Data,Yes,9/30/1994,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,29.64,No,"ADAMS PLATING, ADAM'S PLATING, ADAMS PLATING, ADAMS PLATING",[Blank Date],www.epa.gov/superfund/adams-plating,
ILD980607055,ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,ADAMS,IL,2 MILES NORTH OF BURTON TWP 1/2 MI WEST, 62301 ,R05,Final NPL,No,No,No,Insufficient Data,Insufficient Data,Yes,3/31/1999,,,,Active,Waste Management,Co-disposal landfill (municipal and industrial),,No,,34.21,No,"ADAMS COUNTY QUINCY LDFL SITE #2 & #3, QUINCY MUNI LDFL 2, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LANDFILLS 2&3, QUINCY MUNI LDFL 2 AND 3 OF, ADAMS COUNTY QUINCY LANDFILL SITE 2 & 3, ADAMS COUNTY QUINCY LANDFILL SITE 2&3, QUINCY MUNI LDFL 2 AND 3 OF, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LANDFILL SITE #2 & #3",[Blank Date],www.epa.gov/superfund/adams-county-landfills,
SCD047563614,ADMIRAL HOME APPLIANCES,WILLISTON,BARNWELL,SC,3330 CRANE WAY, 29853 ,R04,Not NPL,No,Yes,No,Yes,Yes,Yes,9/18/2018,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,Other,Treatment works/septic tanks/other sewage treatment,,No,,,No,ADMIRAL HOME APPLIANCES,2/11/2005,www.epa.gov/superfund/admiral-home-appliances,
MND980904023,ADRIAN MUNICIPAL WELL FIELD,ADRIAN,NOBLES,MN,ADRIAN CITY LIMITS, 56110 ,R05,Deleted NPL,Yes,No,No,Yes,Yes,Yes,7/20/1992,,,,Active,Other,Ground water plume site with no identifiable source,,No,,,No,"ADRIAN MUNICIPAL WELL FIELD, ADRIAN MUNICIPAL WELL FIELD",[Blank Date],www.epa.gov/superfund/adrian-municipal-wellfield,
CAD048634059,"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,SANTA CLARA,CA,901 THOMPSON PL, 94086 ,R09,Final NPL,No,No,No,Yes,Yes,Yes,9/17/1993,,,,Active,Manufacturing/Processing/Maintenance,Electronic/electrical equipment,,No,,37.93,No,"ADVANCED MICRO DEVICES, INC., ADVANCED MICRO DEVICES, INC (901 THOMPSO, ADVANCED MICRO DEVICES, INC, AMD - THOMPSON PLACE, AMD 901/902",[Blank Date],www.epa.gov/superfund/advancedmicrodevices,
CAT080034234,"ADVANCED MICRO DEVICES, INC. (BUILDING 915)",SUNNYVALE,SANTA CLARA,CA,915 DEGUIGNE, 94086 ,R09,Final NPL,No,No,Yes,Yes,Yes,Yes,3/25/1992,,,,Active,Manufacturing/Processing/Maintenance,Electronic/electrical equipment,,No,,31.94,No,"AMD 915 DEGUINE, ADVANCED MICRO DEVICES, INC (915 DEGUIGN, ADVANCED MICRO DEVICES, INC. (BLDG. 915), ADVANCED MICRO DEVICES #915, ADVANCED MICRO DEVICES DEGUINE, ADVANCED MICRO DEVICES, INC. (BUILDING 915)",[Blank Date],www.epa.gov/superfund/advancedmicrodevices915,
CAD980358832,AEROJET GENERAL CORP.,RANCHO CORDOVA,SACRAMENTO,CA,HWY US 50 & AEROJET RD, 95670 ,R09,Final NPL,No,No,No,Yes,No,No,,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,54.63,No,"AEROJET GENERAL CORP, AEROJET GENERAL CORP., AEROJET GENERAL CORP (RANCHO CORDOVA)",4/1/1979,www.epa.gov/superfund/aerojet,CAD000030494 - AEROJET ROCKETDYNE INC
CAN000908808,AFTERTHOUGHT MINE,BELLA VISTA,SHASTA,CA,"HIGHWAY 299, SHASTA COUNTY", 96008 ,R09,Final NPL,No,No,No,Status Unavailable,Status Unavailable,No,,,,,Active,"Other, Mining","Spill or other one-time event, Mining and Mineral Processing/Smelting",,No,,50,No,,[Blank Date],www.epa.gov/superfund/afterthought-mine,
MND980898068,AGATE LAKE SCRAPYARD,FAIRVIEW TOWNSHIP,CASS,MN,WESTERN SHORE OF AGATE LAKE, 56473 ,R05,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,3/31/1995,,,,Active,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,,No,,,No,"AGATE LAKE SCRAP YARD, AGATE LAKE SCRAPYARD, AGATE LAKE SCRAP YARD, AGATE LAKE SCRAP YARD",[Blank Date],www.epa.gov/superfund/agatelake-scrap-yard,
FLD980221857,AGRICO CHEMICAL CO.,PENSACOLA,ESCAMBIA,FL,118 E FAIRFIELD DR @ I-110, 32505 ,R04,Final NPL,No,No,Yes,Yes,Yes,Yes,9/23/1999,,,,Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,44.98,No,"AGRICO CHEMICAL CO, AGRICO CHEMICAL CO., AGRICO CHEMICAL SITE",[Blank Date],www.epa.gov/superfund/agrico-chemical-company,
LAD981056997,AGRICULTURE STREET LANDFILL,NEW ORLEANS,ORLEANS,LA,ABUNDANCE STREET, 70126 ,R06,Final NPL,Yes,No,Yes,Yes,Yes,Yes,4/2/2002,,,,Active,Waste Management,Municipal solid waste landfill,,No,,,No,"AGRICULTURE STREET LANDFILL, MOTEN ELEMENTARY SCHOOL, AGRICULTURE STREET LANDFILL",7/1/1985,www.epa.gov/superfund/agriculture-street-landfill,
IAD042581256,AIDEX CORP.,MINEOLA,MILLS,IA,I-29 & HIGHWAY 370, 51554 ,R07,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,6/30/1992,,,,Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,,No,"AIDEX CORP, AIDEX CO (FINDS), AIDEX CORPORATION, AIDEX CORP.",[Blank Date],www.epa.gov/superfund/aidexcorp,
TX7572024605,AIR FORCE PLANT #4 (GENERAL DYNAMICS),FORT WORTH,TARRANT,TX,GRANTS LANE, 76108 ,R06,Final NPL,No,No,No,Insufficient Data,Yes,Yes,9/15/2006,,,,Active,Manufacturing/Processing/Maintenance,Trucks/ships/trains/aircraft and related components,Department of Defense,No,,39.92,Yes,"AIR FORCE PLANT #4 (GENERAL DYNAMICS), PLANT #4 (GENERAL DYNAMICS), AIR FORCE PLANT #4 (GEN DYNAMICS)",11/1/1982,www.epa.gov/superfund/air-force-plan-4,
OH1170090004,AIR FORCE PLANT 85,COLUMBUS,FRANKLIN,OH,ALUM CREEK DRIVE, 43219 ,R05,Proposed NPL,No,No,No,Yes,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Trucks/ships/trains/aircraft and related components,Department of Defense,No,,50,Yes,"US NAVY NAVEL WEAPONS IND RESERVE PLT, US AIR FORCE PLANT 85 AKA US NAVY WEAPON, US AIR FORCE PLANT 85 AKA US NAVY WEAPON, FORMERLY NAVAL WEAPONS IND RESERVE, AIR FORCE PLANT 85, AIR FORCE PLANT 85",8/1/1980,www.epa.gov/superfund/air-force-plant-85,
CO7570090038,AIR FORCE PLANT PJKS,LITTLETON,JEFFERSON,CO,12275 SOUTH HIGHWAY 75, 80127 ,R08,Final NPL,No,No,No,Insufficient Data,Insufficient Data,Yes,2/24/2014,,,,Active,"Other, Other","Research, development, and testing facility, Military/Other Ordinance",Department of Defense,No,,42.93,Yes,"MARTIN MARIETTA DENVER AEROSPACE, PJKS, AIR FORCE PLANT PJKS",12/1/1985,www.epa.gov/superfund/air-force-plant-pjks,CO7570090038 - US AIR FORCE PLANT - PJKS
KYD041981010,AIRCO,CALVERT CITY,MARSHALL,KY,HWY 1523, 42029 ,R04,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,9/29/1997,,,,Active,Waste Management,Industrial waste landfill,,No,,,No,"AIRCO, AIRCO CARBIDE INC/DIV AIRCO INC, AIRCO",[Blank Date],www.epa.gov/superfund/airco,
FLD004145140,AIRCO PLATING CO.,MIAMI,MIAMI-DADE,FL,3636 NW 46TH STREET, 33142 ,R04,Final NPL,No,No,Yes,Yes,Yes,Yes,9/15/1999,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,42.47,No,"AIRCO PLATING CO INC, AIRCO PLATING CO., AIRCO PLATING CO., AIRCO PLATING CO., AIRCO PLATING CO., INC., AIRCO PLATING CO",[Blank Date],www.epa.gov/superfund/airco-plating-company,
MI0001119106,AIRCRAFT COMPONENTS (D & L SALES),BENTON HARBOR,BERRIEN,MI,671 NORTH SHORE DRIVE, 49022 ,R05,Final NPL,Yes,No,No,Yes,Yes,Yes,8/24/2004,,,,Active,"Other, Other","Retail/commercial, Product storage/distribution",,No,,,No,"AIRCRAFT COMPONENTS (D & L SALES), MICHIGAN RADIATION SITES, BENTON HARBOR RADIATION SITE, AIRCRAFT COMPONENTS (MICHIGAN RADIOLOGIC, AIRCRAFT COMPONENTS (D & L SALES), BENTON HARBOR, AIRCRAFT COMPONENTS INC, D & L SALES",[Blank Date],www.epa.gov/superfund/aircraft-components,
AL6210020008,ALABAMA ARMY AMMUNITION PLANT,CHILDERSBURG,TALLADEGA,AL,STATE HWY 235, 35044 ,R04,Final NPL,No,No,No,Insufficient Data,Yes,No,,,,,Active,Manufacturing/Processing/Maintenance,Ordnance production,Department of Defense,No,,36.83,Yes,"ALABAMA ARMY AMMUNITION PLANT, USA ALABAMA ARMY AMMUNITION PLT, USA ALABAMA ARMY AMMUNITION PLANT, USA ALABAMA ARMY AMMUNITION PLANT",2/12/1988,www.epa.gov/superfund/alabama-army-ammunition-plant,
ALD004022448,"ALABAMA PLATING COMPANY, INC.",VINCENT,SHELBY,AL,570 HIGHWAY 231 NORTH, 35178 ,R04,Final NPL,No,No,Yes,Yes,Yes,Yes,6/21/2018,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,30.2,No,"ALABAMA PLATING CO INC, ALABAMA PLATING COMPANY, INC., ALABAMA PLATING CO INC, ALABAMA PLATING COMPANY, INC., ALABAMA PLATING COMPANY, INC.",7/1/1980,www.epa.gov/superfund/alabama-plating-co,
PAD075993378,ALADDIN PLATING,SCOTT TOWNSHIP,LACKAWANNA,PA,1 LAYTON RD, 18411 ,R03,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,9/26/1996,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,,No,"ALADDIN PLATING, ALADDIN PLATING, ALADDIN ELECTROPLATING, ALADDIN PLATING",7/1/1983,www.epa.gov/superfund/aladdin,
CA2170023236,ALAMEDA NAVAL AIR STATION,ALAMEDA,ALAMEDA,CA,W END CITY OF ALAMEDA, 94501 ,R09,Final NPL,No,No,No,Yes,Yes,No,,,,,Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",Department of Defense,No,,50,Yes,"ALAMEDA NAVAL AIR STA, ALAMEDA NAVAL AIR STATION, ALAMEDA NAVAL AIR STATION, NAVAL AIR STATION ALAMEDA",[Blank Date],www.epa.gov/superfund/alamedanavalairstation,
TNN000410203,ALAMO CONTAMINATED GROUND WATER,ALAMO,CROCKETT,TN,SOUTH BELLS STREET, 38001 ,R04,Final NPL,No,No,No,Yes,Yes,No,,,,,Active,Other,Ground water plume site with no identifiable source,,No,,50,No,"ALAMO CONTAMINATED GROUNDWATER, ALAMO CONTAMINATED GROUND WATER, ALAMO CONTAMINATED GROUNDWATER SITE",[Blank Date],www.epa.gov/superfund/alamo-contaminated-groundwater,
FLD012978862,ALARIC AREA GW PLUME,TAMPA,HILLSBOROUGH,FL,2110 N. 71ST STREET AND 14TH AVENUE, 33619 ,R04,Final NPL,No,No,No,Yes,Yes,Yes,9/30/2003,,,,Active,Other,Ground water plume site with no identifiable source,,No,,41.91,No,"ALARIC AREA GW PLUME, ALARIC INCORPORATED, ALARIC INCORPORATED",10/6/1988,www.epa.gov/superfund/alaric-area-groundwater-plume,
CAD098229214,ALARK HARD CHROME,RIVERSIDE,RIVERSIDE,CA,2777 MAIN STREET, 92501 ,R09,Final NPL,No,No,No,Yes,No,No,,,,,Active,Manufacturing/Processing/Maintenance,Metal fabrication/finishing/coating and allied industries,,No,,50.5,No,"ALARK HARD CHROME, ALARK HARD CHROME",[Blank Date],www.epa.gov/superfund/alarkhardchrome,
AKD004904215,ALASKA BATTERY ENTERPRISES,FAIRBANKS,FAIRBANKS NORTH STAR,AK,157 OLD RICHARDSON HIGHWAY, 99701 ,R10,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,3/2/1993,,,,Active,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,,No,,,No,"ALASKA BATTERY ENTERPRISES, ALASKA BATTERY ENTERPRISES, ALASKA BATTERY ENTERPRISES, ALASKAN BATTERY ENTERPRISES, ALASKA BATTERY ENTERPRISES, ALASKA BATTERY ENTERPRISES",[Blank Date],www.epa.gov/superfund/alaska-battery,
AKD980983241,ALASKA RAILROAD ANCHORAGE YARD,ANCHORAGE,ANCHORAGE,AK,1ST AVENUE, 99501 ,R10,Not NPL,No,Yes,No,Yes,Insufficient Data,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",,No,,,No,"ANCHORAGE TERMINAL RESERVE, USDOT-FRR ALASKA RAILROAD- ANCHORAGE",4/19/2016,www.epa.gov/superfund/alaska-railroad-anchorage-yard,AKD981767403 - ALASKA RAILROAD CORPORATION
