"idx","provider_name","center_type","phone","address_1","address_2","address_3"
149,"university of virginia pediatric care center","mda care center","4342436903","1204 w. main street","uva battle building","charlottesville; va 22908"
150,"university of virginia adult care center","mda care center","4349248617","1215 lee street","4th floor of patient care","charlottesville; va 22908"
151,"mayo clinic arizona","certified treatment center of excellence","4803018100","13400 e. shea blvd.",NA,"scottsdale; az 85259"
152,"neuromuscular research center","affiliated clinic","4803141007","4545 e. shea blvd.","suite 175","phoenix; az 85028"
153,"university of arkansas- pediatric care center","mda/als care center","5013644000","1 children's way",NA,"little rock; ar 72205"
154,"university of arkansas for medical sciences","affiliated clinic","5016865838","4301 west markham street",NA,"little rock; ar 72205"
155,"university of louisville physicians child neurology","mda care center","5025883650","411 e chestnut st","novak center suite 645","louisville; ky 40202"
156,"university of louisville physicians adult neurology","mda care center","5025884800","401 e. chestnut street","suite 510","louisville; ky 40202"
157,"university of louisville physicians","recognized treatment center","5025886000","401 e. chestnut st.","suite 510","louisville; ky 40202"
158,"providence als center","certified treatment center of excellence","5032158580","5050 n.e. hoyt","suite 314","portland; or 97213"
159,"va portland health care system - als clinic","certified treatment center of excellence","5032208262","3710 sw u.s. veterans hospital rd.",NA,"portland; or 97239"
160,"shriners hospital for children- portland","mda care center","5032415090","3101 sw sam jackson park road",NA,"portland; or 97239"
161,"oregon health & science university- adult care center","mda/als care center","5034947772","3303 sw bond avenue","8th floor","portland; or 97239"
162,"kaiser permanente sunnyside medical center","affiliated clinic","5036522880","10180 se sunnyside rd.",NA,"clackamas; or 97015"
163,"lsu als clinic","recognized treatment center","5044121415","478 south johnson st.",NA,"new orleans; la 70117"
164,"louisiana state university","mda care center","5044121517","2025 gravier street","5th floor","new orleans; la 70112"
165,"southeast louisiana veterans health care system als clinic","affiliated clinic","5045072000","2400 canal st.",NA,"new orleans; la 70119"
166,"ochsner als clinic","certified treatment center of excellence","5048420113","1401 jefferson hwy.",NA,"jefferson; la 70121"
167,"children's hospital of new orleans","mda care center","5048969283","200 henry clay avenue","neuromuscular clinic 1st floor (green elevators)","new orleans; la 70118"
168,"university of new mexico hospital als clinic","certified treatment center of excellence","5052723160","2211 lomas; ne","msc 10 5620","albuquerque; nm 87131"
169,"university of new mexico- pediatric","mda care center","5052729351","1127 university blvd. ne",NA,"albuquerque; nm 87102"
170,"mayo clinic","certified treatment center of excellence","5075381037","200 first st.; s.w.",NA,"rochester; mn 55905"
171,"mayo clinic- rochester","mda care center","5075383270","200 1st st sw","department of neurology","rochester; mn 55905"
172,"university of massachusetts","mda care center","5083342527","55 lake avenue north","1st floor","worcester; ma 01655"
173,"umass medical center","affiliated clinic","5088564147","55 lake ave. north","room ac1-044","worcester; ma 01655"
174,"providence st. luke’s als center","affiliated clinic","5094736706","715 s cowley","suite 228","spokane; wa 99202"
175,"shriners hospital for children- spokane","mda care affiliate","5096230400","911 w. 5th avenue",NA,"spokane; wa 99204"
176,"kadlec als clinic","affiliated clinic","5099425560","1268 lee blvd.",NA,"richland; wa 99352"
177,"kaiser permanente als clinic - san leandro","affiliated clinic","5104543180","department of neurology","2500 merced st.","san leandro; ca 94577"
178,"central texas neurology consultants","affiliated clinic","5122181222","16040 park valley dr.",NA,"round rock; tx 78681"
179,"child neurology consultants of austin","mda care affiliate","5124944000","6811 austin center blvd","suite 400","austin; tx 78731"
180,"the emory bellard als clinic","recognized treatment center","5125094031","300 university blvd.","building a","round rock; tx 78665"
181,"dell children's medical center","mda clinic","5126281855","4900 mueller blvd","suite 300","austin; tx 78723"
182,"university of cincinnati - als multidisciplinary clinic","affiliated clinic","5134758730","151 w galbraith rd.",NA,"cincinnati ; oh 45216"
183,"cincinnati children's hospital","mda care center","5138033000","3333 burnet avenue",NA,"cincinnati; oh 45229"
184,"central iowa va healthcare system","veterans administration","5156995999","3600 30th st.",NA,"des moines; ia 50310"
185,"northwell health","affiliated clinic","5163257000","611 northern blvd.","suite 150","great neck; ny 11021"
186,"michigan state university","mda/als care center","5173538122","804 service road","suite a-117","east lansing; mi 48824"
187,"albany medical center- pediatric care center","mda care affiliate","5182621700","391 myrtle avenue",NA,"albany; ny 12208"
188,"albany medical center- adult care center","mda care affiliate","5182665226","47 new scotland avenue",NA,"albany; ny 12208"
189,"the lewis golub clinic at st. peter's hospital- ","mda als care center; mda/als care center","5185251629","19 warehouse row",NA,"albany; ny 12205"
190,"children's clinics for rehabilitative services","mda care center","5203243200","2600 n. wyatt drive",NA,"tucson; az 85712"
191,"banner - university medical center south","affiliated clinic","5206948888","2800 e. ajo way",NA,"tucson; az 85713"
192,"carilion clinic adult care center","mda care affiliate","5402245170","3 riverside circle","3rd floor","roanoke; va 24016"
193,"carilion clinic pediatric care center","mda care affiliate","5409858454","102 highland avenue","suite 104","roanoke; va 24013"
194,"st. charles medical center","affiliated clinic","5413823344","2200 ne neff rd.","suite 200","bend; or 97701"
195,"oregon neurology","mda clinic","5418689430","1 hayden bridge way",NA,"springfield; or 97477"
196,"valley children’s hospital","mda care center","5593536215","41169 goodwin way",NA,"madera; ca 93636"
197,"community regional medical center","mda care affiliate","5594592396","2335 e. kashian lane","suite 301","fresno; ca 93701"
198,"rancho los amigos national rehabilitation center","mda clinic","5624017111","7601 e. imperial highway",NA,"downey; ca 90242"
199,"als clinic at geisinger medical center","affiliated clinic","5702716472","100 north academy ave.",NA,"danville; pa 17822"
200,"geisinger medical center","mda care center","5702717994","100 n. academy avenue","1st floor d1","danville; pa 17822"
201,"geisinger medical center als clinic","recognized treatment center","5704161867","549 fair st.",NA,"bloomsburg; pa 17815"
202,"geisinger wyoming valley","mda care center","5708086028","620 baltimore dr",NA,"wilkes-barre; pa 18702"
203,"saint francis medical center","affiliated clinic","5736513188","211 st. francis dr.",NA,"cape girardeau; mo 63703"
204,"university of missouri- adult care center","mda care center","5738821515","1020 hitt street","3rd floor","columbia; mo 65201"
205,"university of missouri- pediatric care center","mda care center","5738826921","404 n. keene street","1st floor","columbia; mo 65201"
206,"university of missouri healthcare als treatment center","certified treatment center of excellence","5738840994","1020 hitt st.",NA,"columbia; mo 65212"
207,"elkhart clinic llc","mda care affiliate","5742963282","303 s. nappanee",NA,"elkhart; in 46514"
208,"strong memorial hospital","affiliated clinic","5852752559","601 elmwood avenue",NA,"rochester; ny 14642"
209,"university of mississippi","mda care center","6019845500","350 w. woodrow wilson",NA,"jackson; ms 39213"
210,"carl t. hayden veterans affairs medical center","veterans administration","6022775551","650 e. indian school",NA,"phoenix; az 85012"
211,"honor health neurology and phoenix neurological associates als clinic","certified treatment center of excellence","6023075842","7242 e. osborn road","suite 400","scottsdale; az 85251"
212,"gregory f. fulton als clinic at barrow neurological institute","certified treatment center of excellence","6024062704","240 w. thomas rd.","suite 400","phoenix; az 85013"
213,"phoenix children's hospital","mda care center","6029330970","1919 e. thomas road","3rd floor","phoenix; az 85016"
214,"the als center at dartmouth-hitchcock medical center","certified treatment center of excellence","6036505000","18 old etna rd.",NA,"lebanon; nh 03766"
215,"dartmouth-hitchcock medical center- adult care center","mda care center","6036505104","one medical center drive","suite 3-c","lebanon; nh 03756"
216,"dartmouth hitchcock medical center- pediatric care center","mda care center","6036539669","one medical center drive","6th floor","lebanon; nh 03756"
217,"dartmouth-hitchcock- manchester","mda care center","6036952940","87 mcgregor street","suite 2200","manchester; nh 03110"
218,"sanford clinic in sioux falls","mda care center","6053121000","1600 w. 22nd street",NA,"sioux falls; sd 57105"
219,"avera brain and spine institute","recognized treatment center","6053228993","800 e 21st st.",NA,"sioux falls; sd 57105"
220,"sioux falls va health system","veterans administration","6053363230","2501 w 22nd st.",NA,"sioux falls; sd 57117"
221,"dean neurological institute & spine center","mda care affiliate","6082603425","700 s. park street","3rd floor","madison; wi 53715"
222,"university of wisconsin health","mda care center","6082620547","600 highland avenue","h6-544","madison; wi 53792"
223,"uw health university hospital als clinic","affiliated clinic","6082635442","600 highland ave.",NA,"madison; wi 53792"
224,"american family children's hospital","mda care center","6082636420","1675 highland avenue",NA,"madison; wi 53792"
225,"gundersen health system als clinic","affiliated clinic","6087759000","1900 south ave.",NA,"la crosse; wi 54601"
226,"neuromuscular and als center for comprehensive care at lehigh valley hospital","recognized treatment center","6104028420","1210 s. cedar crest blvd.",NA,"allentown; pa 18103"
227,"good shepherd rehabilitation hospital","mda/als care center","6107763100","850 s. 5th street",NA,"allentown; pa 18103"
228,"university of minnesota","mda/als care center","6123656777","2512 s. 7th street","3rd floor","minneapolis; mn 55454"
229,"m health fairview als clinic","certified treatment center of excellence","6126266688","909 fulton st. se","3rd floor; mc 2121cj","minneapolis; mn 55455"
230,"minneapolis va health care system (vahcs) als center of excellence","certified treatment center of excellence","6126297005","one veteran's dr.",NA,"minneapolis; mn 55417"
231,"university of minnesota- twin cities","mda/als care center","6126727422","909 fulton street se","3rd floor","minneapolis; mn 55455"
232,"als center of excellence at hennepin healthcare","certified treatment center of excellence","6128735465","715 south 8th st.","3rd floor neurology clinic","minneapolis; mn 55415"
233,"ohio state university","mda/als care center","6142934969","543 taylor avenue",NA,"columbus; oh 43203"
234,"nationwide children's hospital","mda care center","6147222203","555 s 18th st",NA,"columbus; oh 43205"
235,"ohiohealth als clinic","certified treatment center of excellence","6147882445","300 polaris parkway","suite 2350","westerville; oh 43082"
236,"vanderbilt university","mda/als care center","6159360060","2200 pierce avenue",NA,"nashville; tn 37232"
237,"helen devos children's hospital","mda care center","6162672500","100 michigan street ne",NA,"grand rapids; mi 49503"
238,"spectrum health als multidisciplinary clinic","certified treatment center of excellence","6162677104","2750 e. beltline ne grand rapids; mi 49525",NA,"grand rapids; mi 49525"
239,"trinity health medical group-neuromuscular","certified treatment center of excellence","6166855050","220 cherry st.",NA,"grand rapids; mi 49503"
240,"boston children's hospital","mda care center","6173558235","300 longwood avenue","11th floor","boston; ma 02115"
241,"brigham & women's hospital","mda care center","6175257443","60 fenwood road","neuroscience 1st floor","boston; ma 02115"
242,"tufts medical center","mda care affiliate","6176365848","800 washington street",NA,"boston; ma 02111"
243,"massachusetts general hospital- pediatric care center","mda care center","6176434645","165 cambridge street","8th floor","boston; ma 02114"
244,"beth israel deaconess medical center","affiliated clinic","6176678130","330 brookline ave.",NA,"boston; ma 02215"
245,"sean m. healey & amg center for als","affiliated clinic","6177243914","15 parkman st.",NA,"boston; ma 02114"
246,"massachusetts general hospital","mda clinic","6177263642","boston; ma 02114",NA,NA
247,"uc san diego als center","certified treatment center of excellence","6195435300","200 west arbor dr.",NA,"san diego; ca 92103"
248,"stony brook university hospital als center","certified treatment center of excellence","6314444623","179 belle meade rd.","suite 3 east","setauket; ny 11733"
249,"stony brook children's hospital","mda care affiliate","6314445437","4 technology drive",NA,"east setauket; ny 11733"
250,"st. charles hospital and rehabilitation","mda care center","6314746300","200 belle terre road",NA,"port jefferson; ny 11777"
251,"als association program at the hospital for special surgery","certified treatment center of excellence","6467146135","525 east 71st st.",NA,"new york; ny 10021"
252,"hospital for special surgery","mda/als care center","6467978917","525 e. 71st street","5th floor","new york; ny 10021"
253,"veteran’s administration - palo alto","veterans administration","6504935000","3801 miranda ave.",NA,"palo alto; ca 94304"
254,"lucile packard children's hospital","mda care center","6507230993","730 welch road","2nd floor","palo alto; ca 94304"
255,"stanford mda/als neuroscience clinic","affiliated clinic","6507236469","213 quarry rd.","1st floor","palo alto; ca 94304"
256,"gillette children's specialty healthcare","mda care center","6512908707","200 e. university avenue",NA,"st. paul; mn 55101"
257,"healthpartners neuroscience center","affiliated clinic","6514956307","295 phalen blvd.",NA,"st. paul; mn 55130"
258,"cook children's medical center","mda care center","6828852500","1500 cooper street","4th floor","fort worth; tx 76104"
