NDC,INGREDIENT
51991045758,polyethylene glycol 3350
51672404801,betamethasone
51672404801,clotrimazole
00378135201,triamterene
00378135201,hydrochlorothiazide
65649020175,ascorbic acid
65649020175,polyethylene glycol 3350
65649020175,sodium ascorbate
65649020175,sodium sulfate
65649020175,potassium chloride
65649020175,sodium chloride
10135059130,simethicone
00173069700,salmeterol
00173069700,fluticasone
54092038701,dextroamphetamine
54092038701,amphetamine
51224030110,alendronate
69543013650,tramadol
68382003516,venlafaxine
69097015807,meloxicam
51672129201,hydrocortisone
68180051202,lisinopril
00002840001,teriparatide
00071015694,atorvastatin
00093736656,losartan
49884002901,hydralazine
00527133701,baclofen
53746010105,gabapentin
10702007106,oxymorphone
00409733304,ceftriaxone
10019055302,scopolamine
69315011710,furosemide
10370011610,zolpidem
59762306002,azithromycin
31722020930,terbinafine
45963067696,metoprolol
17478062512,latanoprost
68180033107,ziprasidone
00378104401,valproate
43547027210,ropinirole
00093585101,escitalopram
68462047301,ursodeoxycholate
00378261001,amitriptyline
60505016601,fluvoxamine
00781709004,ketoconazole
49884040510,metoprolol
00185006405,clonazepam
00025152531,celecoxib
13668013201,felodipine
00406035705,acetaminophen
00406035705,hydrocodone
00093739298,niacin
55111032105,glimepiride
69315090410,lorazepam
00172531260,ciprofloxacin
67919001101,daptomycin
00131247835,lacosamide
00781322464,enoxaparin
67877028660,riluzole
00078035834,valsartan
66993040932,carbamazepine
00093098301,nystatin
00527131530,rifampin
15338022030,enalapril
68382002101,venlafaxine
71093014706,amlodipine
16714085301,metoprolol
00713525601,clindamycin
00093715298,simvastatin
68645044570,amlodipine
00093720110,pravastatin
00591222315,cyclosporine
68968203001,paroxetine
00169406012,liraglutide
00054472831,prednisone
00527163810,levothyroxine
59762307001,azithromycin
62756058081,pantoprazole
00781932995,ceftriaxone
33342006310,valsartan
68180012402,cephalexin
00591058201,propafenone
68382000105,paroxetine
00173085910,vilanterol
00173085910,fluticasone
68462057330,voriconazole
70010049105,metformin
68462018117,clotrimazole
00023916360,cyclosporine
00378385577,escitalopram
00591315901,ursodeoxycholate
16714048102,tramadol
65862019430,fluoxetine
00143178705,acetaminophen
00143178705,caffeine
00143178705,butalbital
00245003623,cholestyramine resin
62175044601,polyethylene glycol 3350
62175044601,sodium bicarbonate
62175044601,sodium sulfate
62175044601,potassium chloride
62175044601,sodium chloride
70347002502,metoprolol
00378072419,tizanidine
00093216568,naloxone
00406036501,acetaminophen
00406036501,hydrocodone
00093104910,metformin
50742010310,atenolol
00781615746,amoxicillin
00049318030,voriconazole
68180096301,albuterol
00093005105,carvedilol
43547027611,donepezil
00781556710,clonazepam
68382090501,morphine
13668013501,escitalopram
60429027010,omeprazole
00409614322,acetic acid
70510217102,edaravone
63824000832,guaifenesin
59762502201,quinapril
16729031801,oxybutynin
59762330403,nitroglycerin
57664013688,ergocalciferol
68462040401,proguanil
68462040401,atovaquone
68180051701,lisinopril
00591397005,metronidazole
51672130100,lactate
00378037201,cimetidine
00093002910,enalapril
00071041813,nitroglycerin
13310011907,colchicine
00378474501,benazepril
00378474501,hydrochlorothiazide
00527132510,digoxin
00591377031,ibandronate
00591086201,lisinopril
00591086201,hydrochlorothiazide
70010049109,metformin
55111033390,pantoprazole
69315030805,ciprofloxacin
00378803005,lansoprazole
62584099477,warfarin
65162076110,warfarin
00378207401,lisinopril
16714065102,ciprofloxacin
55253080230,modafinil
00378105401,enalapril
59762134801,pregabalin
00143992701,ciprofloxacin
62037056005,potassium chloride
00054352763,lithium citrate
55111028130,levofloxacin
64980019401,benazepril
64980019401,hydrochlorothiazide
64679096105,azithromycin
10019055303,scopolamine
00093553756,eszopiclone
68462010430,fluconazole
65862093090,sevelamer
00006027782,sitagliptin
00591343360,albuterol
00591343360,ipratropium
64679094205,lisinopril
55111053301,valproate
00186109205,metoprolol
00591079401,dicyclomine
00008121801,methylnaltrexone
00781518792,levothyroxine
59762306001,azithromycin
42571013725,ketorolac
31722088530,rosuvastatin
49884082601,metoprolol
00093403001,indomethacin
43547040210,furosemide
00781505731,leflunomide
61314063715,prednisolone
00517003125,vitamin b12
00378004701,metoprolol
49884002701,hydralazine
16714029702,clavulanate
16714029702,amoxicillin
65162075310,benazepril
51672208001,terbinafine
68382006616,simvastatin
16714002306,propranolol
57664016752,metoprolol
00168020230,clindamycin
00074455219,levothyroxine
55111015330,ondansetron
50228017905,gabapentin
31722027960,topiramate
00591398401,celecoxib
63304062301,atenolol
29300016910,tizanidine
10702001001,hydroxyzine
65862001501,amoxicillin
31722094901,acetaminophen
31722094901,oxycodone
29300024205,amlodipine
50742013605,allopurinol
43386005019,polyethylene glycol 3350
43386005019,sodium bicarbonate
43386005019,potassium chloride
43386005019,sodium chloride
16714047801,clavulanate
16714047801,amoxicillin
00904679489,aspirin
11534016001,phentermine
27808003601,acetaminophen
27808003601,hydrocodone
43598072101,hydroxychloroquine
00115168134,alendronate
51672403303,warfarin
00527150337,dextroamphetamine
00527150337,amphetamine
00378363401,carvedilol
68180075109,amlodipine
62037086120,enoxaparin
00456111030,vilazodone
70954000530,oxybutynin
59148004013,brexpiprazole
31722027910,topiramate
53746020401,acetaminophen
53746020401,oxycodone
69315013901,glycopyrronium
63459022530,armodafinil
00904600960,lorazepam
60505299506,duloxetine
29300015519,alfuzosin
00121087332,lactulose
54458099510,lisinopril
00378363705,cetirizine
00002323930,atomoxetine
31722082830,aripiprazole
57664047752,metoprolol
00023611001,lipase
00023611001,amylase
00023611001,protease
00603646921,zolpidem
63739055610,midodrine
68382025016,atorvastatin
60505255101,gabapentin
00173088710,vilanterol
00173088710,umeclidinium
00173088710,fluticasone
43598094430,venlafaxine
52343005999,metoprolol
31722000860,zafirlukast
00703367103,methotrexate
00485015101,hyoscyamine
00485015101,sodium phosphate; monobasic
00485015101,methenamine
00485015101,methylene blue
00832102410,baclofen
69097083412,sertraline
43547027603,donepezil
00603781878,nystatin
55111025860,ziprasidone
53489011802,doxycycline
65162037310,oxybutynin
52565003160,fluocinolone
31722071310,pantoprazole
62756079713,valproate
00004036530,peginterferon alfa-2a
00093081301,nortriptyline
00009041701,testosterone
69097015907,meloxicam
69097087502,bupropion
16729022517,spironolactone
62756018418,oxcarbazepine
64980052810,sodium bicarbonate
00002771227,insulin lispro
16714084402,amiodarone
00185061001,chlordiazepoxide
24979010102,bupropion
57237015530,modafinil
00054070925,methadone
10702020101,oxybutynin
00591551310,carisoprodol
51672404709,carbamazepine
59572041500,lenalidomide
00023320505,bimatoprost
67405050003,terbinafine
55111076260,valganciclovir
00378512401,sotalol
66993089845,betamethasone
66993089845,clotrimazole
23155050110,hydroxyzine
00037024523,azelastine
00037024523,fluticasone
63481018316,testosterone
62756046188,carbidopa
62756046188,levodopa
00527155201,aspirin
00527155201,caffeine
00527155201,butalbital
00054022321,quetiapine
49281062915,influenza a virus (h1n1) antigen
49281062915,influenza a virus (h3n2) antigen
49281062915,influenza b virus antigen
00004080185,oseltamivir
43068010602,iloperidone
65162075210,benazepril
69238183801,levothyroxine
00591371330,ezetimibe
53746014501,hydrocodone
53746014501,ibuprofen
65862013499,hydrochlorothiazide
10370083105,diltiazem
00093506105,hydroxyzine
00069024430,fesoterodine
60219175303,sildenafil
00456112030,vilazodone
45802002801,olopatadine
72305008830,levothyroxine
65162021210,phenytoin
62559027530,nebivolol
00185002510,lisinopril
16729027910,aripiprazole
72205000499,rosuvastatin
00245021311,midodrine
64380086907,gabapentin
16729044416,bupropion
51224002206,azithromycin
51672403101,warfarin
64380078508,prednisone
45802022235,fluticasone
59746012106,meclizine
50742064601,triazolam
47335073786,bupropion
00024590202,alirocumab
53746007701,estrogens; esterified (usp)
53746007701,methyltestosterone
00093716605,celecoxib
00472038115,betamethasone
31722073090,irbesartan
00904208560,vitamin a
16729013416,allopurinol
00056016870,warfarin
61442046090,levocetirizine
64125011801,furosemide
16714016001,ondansetron
68180096903,levothyroxine
00591086105,lisinopril
00591086105,hydrochlorothiazide
68382076005,metformin
23155007101,methimazole
68645050001,sertraline
47781013930,rasagiline
00378912398,fentanyl
43386053001,nystatin
00603420921,lisinopril
43386048024,orphenadrine
00093970210,carbidopa
00093970210,levodopa
31722090401,fluoxetine
00603373934,furosemide
59762501101,spironolactone
16571050050,losartan
10702002501,phentermine
58468013102,sevelamer
69452023420,progesterone
45802043262,pseudoephedrine
00185111160,bupropion
59762500801,misoprostol
00555078702,dextroamphetamine
00555078702,amphetamine
00093083310,clonazepam
54838055080,ranitidine
47781049050,doxycycline
51991070405,alprazolam
59746044990,irbesartan
23155006201,theophylline
65162083594,acyclovir
68645045954,atorvastatin
60505050105,imiquimod
42858050203,buprenorphine
23155050001,hydroxyzine
51862022801,acetaminophen
51862022801,hydrocodone
16729030017,trazodone
65162005010,oxycodone
00185004301,midodrine
16714073801,fenofibrate
16729015401,ramipril
69097081507,gabapentin
00603137859,lactulose
00781570010,losartan
51660014390,valsartan
00093681773,budesonide
50458057890,rivaroxaban
00172392560,diazepam
13668018801,sildenafil
51862034690,dextroamphetamine
50111064701,fluoxetine
65862007601,ciprofloxacin
69973003530,fenofibrate
55513081080,ivabradine
71930001830,ondansetron
50383041906,ciclopirox
49348000114,aspirin
00378230201,prazosin
51862018801,morphine
45802036862,imiquimod
69543014111,losartan
65862065401,entacapone
43386016801,potassium chloride
68462015360,topiramate
00281032630,nitroglycerin
10147075004,ketoconazole
68001024804,montelukast
43547035410,lisinopril
00603421128,lisinopril
21695006560,ibuprofen
00008122201,desvenlafaxine
70377000713,rosuvastatin
00548560200,enoxaparin
47781020604,estradiol
65597011090,amlodipine
65597011090,olmesartan
25021045405,octreotide
61442010201,diclofenac
00078063035,tobramycin
00527134601,levothyroxine
68001039700,famotidine
60505311303,olanzapine
16729000316,glimepiride
00904759082,ferrous sulfate
59148001113,aripiprazole
00054413025,cyclophosphamide
54458095710,benazepril
00115392201,carbidopa
00115392201,levodopa
16714068503,simvastatin
57962042028,ibrutinib
00245036001,potassium chloride
00904516580,sennosides; usp
13668010510,isosorbide
76282033210,warfarin
60505620201,cyclosporine
64380083406,acetazolamide
51672400401,nortriptyline
23155013810,hydrochlorothiazide
50222022704,betamethasone
50222022704,calcipotriene
64980010401,sodium phosphate; monobasic
64980010401,sodium phosphate; dibasic
64980010401,potassium phosphate
69097027703,valganciclovir
00143120110,colchicine
67877057301,benzonatate
00555086905,warfarin
00527144201,sulfamethoxazole
00527144201,trimethoprim
60758080115,timolol
55111015901,omeprazole
49884082710,metoprolol
50383077932,lactulose
00527143501,metaxalone
60505008100,sotalol
62756018488,oxcarbazepine
43292055738,magnesium oxide
00591038705,acetaminophen
00591038705,hydrocodone
00093314505,cephalexin
00168008031,hydrocortisone
00832102400,baclofen
65197000301,triamterene
68180055909,quinapril
50111078751,azithromycin
13668000801,zolpidem
00406036701,acetaminophen
00406036701,hydrocodone
68645049270,pantoprazole
00378075710,atenolol
50228018105,gabapentin
31722072610,montelukast
00002446330,tadalafil
00228266650,gabapentin
00603497528,oxybutynin
00378632205,hydrochlorothiazide
00378632205,valsartan
00378105201,enalapril
59746017509,prednisone
64764017530,dexlansoprazole
00023429003,alcaftadine
00527132601,ursodeoxycholate
66758020854,scopolamine
00093753656,anastrozole
00093014905,naproxen
00093013505,carvedilol
60258016001,thiamine
60258016001,vitamin b12
60258016001,ascorbic acid
60258016001,d-biotin
60258016001,folic acid
60258016001,pantothenate
60258016001,pyridoxine
60258016001,niacinamide
60258016001,riboflavin
68382009706,paroxetine
00093894705,acyclovir
00574018105,potassium chloride
47781047013,oseltamivir
55111055330,valacyclovir
00527328646,levothyroxine
59746032990,donepezil
00781214801,lansoprazole
00228277911,propranolol
68382005210,warfarin
16714085303,metoprolol
65862069730,venlafaxine
68180013501,escitalopram
00591320960,rivastigmine
00006386203,aprepitant
00781501701,diclofenac
45802091987,cetirizine
60505003306,pentoxifylline
71093014105,methocarbamol
13668021730,aripiprazole
54458092610,pravastatin
00603221421,amitriptyline
00054372763,propranolol
68180013701,escitalopram
00591067601,diclofenac
00378797052,ipratropium
00944270007,immunoglobulin g
23155053102,calcium acetate
00093031801,diltiazem
00832105415,baclofen
00093506001,hydroxyzine
29300024310,amlodipine
00781569005,ezetimibe
51672136307,diclofenac
54458096410,meloxicam
42806016005,hydroxyzine
10702000350,promethazine
00078042315,valsartan
31722070290,losartan
51672126303,triamcinolone
51672126303,nystatin
64376063205,alprazolam
00093102301,nifedipine
00173052300,sumatriptan
65862064960,rivastigmine
00173080913,dutasteride
00173080913,tamsulosin
68001011703,levetiracetam
70010049101,metformin
00093718856,fluoxetine
00228212710,clonidine
31722053712,levetiracetam
00832532511,potassium chloride
65162046650,ibuprofen
42543049301,amantadine
00185093998,cholestyramine resin
00378054477,quinapril
00378054477,hydrochlorothiazide
68462010340,fluconazole
16571041110,ciprofloxacin
70710120901,allopurinol
13668011390,losartan
60505014102,glipizide
00046110511,estrogens; conjugated (usp)
00046110511,medroxyprogesterone
71093011105,gabapentin
00093505898,atorvastatin
00456228030,levomilnacipran
00378266001,morphine
00603210934,amlodipine
00781505061,metformin
51991007301,acetaminophen
51991007301,caffeine
51991007301,butalbital
51991007301,codeine
17478007035,erythromycin
00054016325,mycophenolate mofetil
00074306190,diltiazem
00093104801,metformin
00603499828,acetaminophen
00603499828,oxycodone
00093823898,hydrochlorothiazide
00093823898,irbesartan
31722083260,valganciclovir
16729041401,doxazosin
00603783188,testosterone
00781711735,calcipotriene
00075062280,enoxaparin
68180035306,sertraline
33342029815,memantine
55111062930,eszopiclone
68462022555,mometasone
51293062701,phenobarbital
68645044870,escitalopram
00131247735,lacosamide
62037072601,methylphenidate
59011075104,buprenorphine
59762007501,hydrocortisone
00378020801,furosemide
43547036209,losartan
00074707090,levothyroxine
00487990425,albuterol
69097094605,atorvastatin
50111046803,propranolol
00378003001,clorazepate
69238183807,levothyroxine
69097094505,atorvastatin
68001015400,carvedilol
43386031208,polyethylene glycol 3350
00378395377,atorvastatin
00228207710,temazepam
65862006399,metoprolol
00093738605,venlafaxine
24979003803,metoprolol
43547026650,gabapentin
68382014014,topiramate
60505296507,mycophenolic acid
00378018401,propranolol
69516000530,obeticholic acid
50383023210,dorzolamide
64380086108,potassium chloride
00378773497,ondansetron
67877042805,gabapentin
29300041519,cyclobenzaprine
00591321372,fentanyl
00781577626,azithromycin
53489064701,doxycycline
65862044990,valacyclovir
47335083783,galantamine
60505325503,letrozole
00378027101,diazepam
68001024617,ondansetron
49884087201,fluoxetine
68382005901,warfarin
50228043605,naproxen
00093520006,buspirone
16714087503,atorvastatin
57237016199,omeprazole
00555021110,norethindrone
00378041577,atropine
00378041577,diphenoxylate
42543000210,metoprolol
00406036505,acetaminophen
00406036505,hydrocodone
68585000575,magnesium chloride
00054002821,cilostazol
44206043605,immunoglobulin g
00574025101,hyoscyamine
00406910076,fentanyl
65862059499,valproate
68645044770,escitalopram
60951065270,morphine
00310080060,aclidinium
68180016106,azithromycin
66993096245,metronidazole
00378700210,paroxetine
51167080901,ivacaftor
51167080901,lumacaftor
00955101210,enoxaparin
72205000530,rosuvastatin
66758011005,potassium chloride
16729015001,quetiapine
49884022811,ezetimibe
31722070210,losartan
60505614804,ceftriaxone
68180043501,gatifloxacin
59651018030,letrozole
68382079105,acyclovir
00093083405,clonazepam
42806015905,hydroxyzine
68645045870,atorvastatin
57237001030,mirtazapine
59762501301,spironolactone
45802004811,nystatin
10702010101,methylphenidate
49884003401,meclizine
43478090188,propranolol
00093005405,buspirone
65862062090,quinapril
54505010202,epinephrine
65862039110,ondansetron
45802058062,scopolamine
00527134401,levothyroxine
47781017601,dextroamphetamine
47781017601,amphetamine
60505018301,carbamazepine
60505291709,losartan
60505291709,hydrochlorothiazide
70436001304,desvenlafaxine
00378212177,atorvastatin
00781579220,levofloxacin
16714087403,atorvastatin
13668033005,trazodone
16714040001,cefuroxime
00054028913,montelukast
52544015130,silodosin
00093726710,metformin
45963070996,metoprolol
13107003501,dextroamphetamine
62756026002,zonisamide
00093078201,tamoxifen
27808015701,rosuvastatin
00548560300,enoxaparin
00067512614,nicotine
00046110481,estrogens; conjugated (usp)
00378092493,buprenorphine
00378064210,prednisone
00093758156,aripiprazole
00002143611,galcanezumab
00603548628,propranolol
60429030110,clopidogrel
00591588201,methylphenidate
00781591401,chlorpromazine
16714044701,amitriptyline
59762006801,alprazolam
65162053710,benzonatate
68645014059,famotidine
00093747489,capecitabine
68001042300,nitrofurantoin
00904006116,guaifenesin
00591261201,acetaminophen
00591261201,hydrocodone
69618003206,simethicone
00781519092,levothyroxine
71288041085,enoxaparin
16714045202,quetiapine
13668013610,escitalopram
00093738498,venlafaxine
69315011805,furosemide
47335071213,topiramate
00259477060,naftifine
00527144501,phentermine
00591333105,bupropion
70700027130,deferasirox
64380074318,buspirone
16729031901,oxybutynin
53746010305,gabapentin
43598065530,bupropion
42291081015,tizanidine
00591562105,diazepam
00378051201,verapamil
68001018508,quetiapine
66689040316,oxycodone
43547033750,benazepril
59746021701,spironolactone
59676034001,epoetin alfa
00169368512,insulin aspart protamine; human
00169368512,insulin aspart; human
00093321915,ketoconazole
23155010405,metformin
00713070489,acetaminophen
00713070489,hydrocodone
00955104290,irbesartan
59417010210,lisdexamfetamine
00603148158,nystatin
49884025011,fluoxetine
49884025011,olanzapine
68382032010,potassium chloride
52817032100,baclofen
65862011701,benazepril
76439010250,cephalexin
59762200301,ziprasidone
00904652261,sennosides; usp
10702018601,acetaminophen
10702018601,oxycodone
60505083001,mometasone
42192071506,ciclopirox
68462035801,nabumetone
65862066330,aripiprazole
27808006502,codeine
27808006502,promethazine
31722012805,gemfibrozil
23155012501,ropinirole
00245042005,fentanyl
00093092401,oxaprozin
24208035310,loteprednol etabonate
00378510501,prochlorperazine
64380072507,mycophenolate mofetil
00006000530,suvorexant
00069047103,varenicline
00603294928,clonazepam
47335067381,diltiazem
00121075908,prednisolone
59762109106,asenapine
63304045201,morphine
60505010101,paroxetine
59651017501,doxepin
67877042905,gabapentin
00603211002,amlodipine
72578000105,doxycycline
00378300205,candesartan
00378300205,hydrochlorothiazide
57237022005,pioglitazone
68001011506,levetiracetam
10006073038,magnesium oxide
51672138509,ibuprofen
68462026210,rosuvastatin
00703853023,enoxaparin
60505011201,gabapentin
65162044110,meclizine
49884070155,clomiphene
16714045601,quetiapine
53489038601,minoxidil
68462031417,triamcinolone
68462031417,nystatin
64679092402,enalapril
66993058597,salmeterol
66993058597,fluticasone
64380073606,hydralazine
57237006501,flecainide
27241015704,oxybutynin
31722077690,sildenafil
60505307503,aripiprazole
00591223401,tetracycline
00071040124,gabapentin
00591038701,acetaminophen
00591038701,hydrocodone
58177029304,metoprolol
00327001105,citric acid
00327001105,gluconolactone
00327001105,magnesium carbonate
00185072001,indomethacin
00591381739,albuterol
00591381739,ipratropium
00472082902,fluocinonide
50111032703,hydralazine
00904630820,acetaminophen
64406000602,dimethyl fumarate
00085140101,formoterol
00186016254,candesartan
00186016254,hydrochlorothiazide
43353003115,rosuvastatin
16714099101,rosuvastatin
16571088110,folic acid
63323050830,meropenem
00591278986,tizanidine
00591555701,propranolol
00574085801,colistin
63323028420,vancomycin
00054024425,codeine
00115152908,lamotrigine
51672128402,triamcinolone
69238183201,levothyroxine
24338010213,erythromycin
10572040001,polyethylene glycol 3350
10572040001,sodium bicarbonate
10572040001,sodium sulfate
10572040001,potassium chloride
10572040001,sodium chloride
27808008201,morphine
68382002410,atenolol
69238183601,levothyroxine
00591325601,cyclobenzaprine
72888001001,baclofen
00093576756,olanzapine
64980013009,levocarnitine
00603385521,hydrochlorothiazide
59762105005,amoxicillin
50383008716,codeine
50383008716,guaifenesin
62756051913,carbidopa
62756051913,levodopa
51672130104,lactate
70756070360,ranolazine
00085171802,potassium chloride
00591321730,testosterone
00093217901,liothyronine
51672302009,lidocaine
51672530200,ciclopirox
45802045542,hydrocortisone
00409613803,sodium chloride
62756051813,carbidopa
62756051813,levodopa
55111069710,glyburide
55111069710,metformin
24338012213,erythromycin
16714022601,losartan
16714022601,hydrochlorothiazide
00378191001,clonazepam
37000002304,psyllium
00054023863,morphine
68180098430,budesonide
51293080201,phenazopyridine
00472080415,desonide
00143126410,lisinopril
00143126410,hydrochlorothiazide
00078079975,ciprofloxacin
00078079975,dexamethasone
43547041511,lisinopril
24208067004,sulfacetamide
00054039063,oxycodone
00093206301,quetiapine
00143125101,glycopyrronium
60758090810,trimethoprim
60758090810,polymyxin b
24208073506,cyclopentolate
00378030201,acyclovir
51079000730,omeprazole
13668013710,escitalopram
43598020852,clavulanate
43598020852,amoxicillin
59762024504,donepezil
68645049154,pantoprazole
13925050501,dapsone
00228263306,lovastatin
47335001083,tadalafil
59746038510,terazosin
00378265801,morphine
00378418801,sertraline
16714068203,simvastatin
00168020360,clindamycin
00781194339,clavulanate
00781194339,amoxicillin
43547039810,hydrochlorothiazide
53746046601,ibuprofen
68645044990,cyclobenzaprine
60505004101,etodolac
50383074120,albuterol
00054455015,methotrexate
68645044370,clopidogrel
00093722410,fosinopril
49348081909,naproxen
45963055830,valacyclovir
00228427011,morphine
00904644061,hydralazine
62332011990,pregabalin
57237004705,valproate
21922000301,fluocinolone
43598085130,deferasirox
53489015601,allopurinol
00185004305,midodrine
00781279092,omeprazole
60429065105,carbidopa
60429065105,levodopa
00378830401,carbidopa
00378830401,entacapone
00378830401,levodopa
00591079601,sulfasalazine
76439010210,cephalexin
42808011306,sulfacetamide
42808011306,sulfur
31722082030,aripiprazole
