CRF,CRF ID,CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,Description,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,Classification,Version Number,Version Date,CRF Name,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
Medical History,F0956,C10981,Birth control method type,BirthCntrlMethdTyp,The participant's method of birth control,The participant's method of birth control,"If yes, check box for birth control measure","Oral contraceptives – combined pill;Oral contraceptives – progestin-only pill;Transdermal patch;Shot/injection;Vaginal ring;Implantable devices with hormone;Abstinence;Hormonal (e.g., oral, implanted, injected);Intrauterine device in place for greater than or equal to 3 months;Adequate barrier method in conjunction with spermicide;None of these;Other, specify:","Oral contraceptives – combined pill;Oral contraceptives – progestin-only pill;Transdermal patch;Shot/injection;Vaginal ring;Implantable devices with hormone;Abstinence;Hormonal (e.g., oral, implanted, injected);Intrauterine device in place for greater than or equal to 3 months;Adequate barrier method in conjunction with spermicide;None of these;Other, specify:",Alphanumeric,"Only answered if ""Is the subject of childbearing potential?"" is answered Yes.  Choose all that apply.
",No references available,Adult;Pediatric,Supplemental,4,21:17.0,Medical History,General Health History,Participant History and Family History,,"Multiple Pre-Defined Values Selected
",,,,,,,
Medical History,F0956,C00312,Body system category,BodySysCat,"Category or grouping used in the comprehensive assessment of a participant/subject, which includes a subjective history taking component as well as an objective based structured interview and physical examination of all the body systems","Category or grouping used in the comprehensive assessment of a participant/subject, which includes a subjective history taking component as well as an objective based structured interview and physical examination of all the body system",Body System,"Allergic/Immunologic;Cardiovascular;Constitutional symptoms (e.g., fever, weight loss);Dermatological;Ears, Nose, Mouth, Throat;Endocrine;Eyes;Gastrointestinal;Gastrointestinal/Abdominal;Genitourinary;Gynecologic/Urologic/ Renal;Hematologic/Lymphatic;Hepatobiliary;Integumentary (skin and/or breast);Musculoskeletal;Musculoskeletal (separate from ALS exam);Neurological;Neurologic/CNS;Neurological (separate from ALS exam);Oncologic;Psychiatric;Pulmonary;Respiratory;Other, specify:","Allergic/Immunologic;Cardiovascular;Constitutional symptoms (e.g., fever, weight loss);Dermatological;Ears, Nose, Mouth, Throat;Endocrine;Eyes;Gastrointestinal;Gastrointestinal/Abdominal;Genitourinary;Gynecologic/Urologic/ Renal;Hematologic/Lymphatic;Hepatobiliary;Integumentary (skin and/or breast);Musculoskeletal;Musculoskeletal (separate from ALS exam);Neurological;Neurologic/CNS;Neurological (separate from ALS exam);Oncologic;Psychiatric;Pulmonary;Respiratory;Other, specify:",Alphanumeric,"Record the appropriate body system for each line of medical history. Each body system is pre-populated on the case report form.
",Review of Symptoms from Centers for Medicare and Medicaid Services https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/downloads/eval_mgmt_serv_guide-ICN006764.pdf,Adult;Pediatric,Core,3,54:08.2,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,2002895,
Medical History,F0956,C10982,Childbearing potential sterile reason,ChldbrngPotentSterilRsn,Explanation of why the female participant/subject is not of childbearing potential,Explanation of why the female participant/subject is not of childbearing potentia,"If no, check appropriate box",Surgically sterile;Non-surgically sterile;Post menopausal for at least one year,Surgically sterile;Non-surgically sterile;Post menopausal for at least one year,Alphanumeric,"Only answered if ""Is the subject of childbearing potential?"" is answered No.  Choose one.
",No references available,Adult,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,,
Medical History,F0956,C00313,Medical history condition SNOMED CT code,MedclHistCondSNOMEDCTCode,Systematized Nomenclature Of Medicine Clinical Terms (SNOMED CT) code for medical condition/disease reported by the participant/subject,Systematized Nomenclature Of Medicine Clinical Terms (SNOMED CT) code for medical condition/disease reported by the participant/subject,Medical History Term,,,Alphanumeric,"Record one Medical History term per line. See the data dictionary for additional information on coding the condition using SNOMED CT.
",SNOMED CT Codes (http://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html),Adult;Pediatric,Core,3,54:08.2,Medical History,General Health History,Participant History and Family History,255,"Free-Form Entry
",,,,,,,
Medical History,F0956,C10983,Childbearing potential surgically sterile type,ChldbrngPotentSurgSterilTyp,Type of surgical procedure that rendered the participant/subject sterile,Type of surgical procedure that rendered the participant/subject steril,"If surgicially sterile, check one","Hysterectomy;Tubal ligation;Other, specify","Hysterectomy;Tubal ligation;Other, specify",Alphanumeric,"Only answered if ""Is the subject of childbearing potential?"" is answered No, and ""Surgically sterile"" is checked as the reason.  Choose one.
",No references available,Adult,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,,
Medical History,F0956,C00314,Medical history taken date and time,MedclHistTakenDateTime,"Date (and time, if applicable and known) the participant's medical history was taken","Date (and time, if applicable and known) the participant 's medical history was taken",Date Medical History Taken,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).
",No references available,Adult;Pediatric,Supplemental,3.2,42:39.0,Medical History,General Health History,Participant History and Family History,,"Free-Form Entry
",,,,,,2179659,
Medical History,F0956,C17770,Allergy diagnosis indicator,AllergyDiagnInd,Indicator of whether the participant/subject has allergies,Indicator of whether the participant/subject has allergie,Does the subject have any allergies?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,,No references available,Adult,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,,
Medical History,F0956,C00315,Medical history global assessment indicator,MedclHistGlobalAssmtInd,Indicator of whether the participant has a history of any medical problems/conditions,Indicator of whether the participant has a history of any medical problems/conditions,Does the participant/subject have a history of any medical problems/conditions in the following body systems?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose one. If this question is answered NO then the rest of the form is blank. If the question is answered YES then the medical history for at least one body system should be recorded.
",No references available,Adult;Pediatric,Supplemental,3.1,42:39.0,Medical History,General Health History,Participant History and Family History,,"Single Pre-Defined Value Selected
",,,,,,3145578,
Medical History,F0956,C17771,Allergy diagnosis type,AllergyTyp,Type of allergy the participant/subject experiences,Type of allergy the participant/subject experienc,"If yes, check which type",Seasonal;Food;Medication,Seasonal;Food;Medication,Alphanumeric,,No references available,Adult,Supplemental,3,57:17.8,Medical History,General Health History,Participant History and Family History,,"Multiple Pre-Defined Values Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21905,Geriatric Depression Scale (GDS) Long Form - Downhearted blue indicator,GDSDownheartedBueInd,Indicator whether the subject often feels downhearted and blue (long form) (GDSLF),Indicator whether the subject often feels downhearted and blue (long form) (GDSLF),Do you often feel downhearted and blue?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,34:07.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21918,Geriatric Depression Scale (GDS) Long Form - Total score,GDSLFTotalScore,"Scored count of all depressive answers, as part of the Geriatric Depression Scale Long Form","Scored count of all depressive answers, as part of the Geriatric Depression Scale Long Form",Total Score (long form),,,Numeric Values,"""Score 1 point for each depressive answer. Three cutoffs for scores: 0-9 indicates normal; 10-19 indicates mild depressive; 20-30 indicates severe depressive.  ""
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,49:15.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Free-Form Entry
",0,30,,,,,
Geriatric Depression Scale (GDS),F1005,C09338,Geriatric Depression Scale (GDS) - good spirit indicator,GDSGoodSprtInd,"Indicator whether respondent was in good spirits most of the time over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent was in good spirits most of the time over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF",Are you in good spirits most of the time?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21906,Geriatric Depression Scale (GDS) Long Form - Past worry indicator,GDSWorryAboutPastInd,Indicator whether the subject is worried about the past a lot (long form) (GDSLF),Indicator whether the subject is worried about the past a lot (long form) (GDSLF),Do you worry a lot about the past?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,35:54.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09328,Geriatric Depression Scale (GDS) - life satisfaction indicator,GDSLfeSatisfctnInd,"Indicator whether respondent is basically satisfied with his or her life over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent is basically satisfied with his or her life over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF",Are you basically satisfied with your life?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21919,Geriatric Depression Scale (GDS) Long Form - Depression scale,GDSLFDepressionScale,"Scale of depression based on scored count of all depressive answers, as part of the Geriatric Depression Scale Long Form","Scale of depression based on scored count of all depressive answers, as part of the Geriatric Depression Scale Long Form",Depression Scale,Mild depressive;Normal;Severe depressive,10-19 Mild depressive;0-9 Normal;20-30 Severe depressive,Alphanumeric,"""Score 1 point for each depressive answer. Three cutoffs for scores: 0-9 indicates normal; 10-19 indicates mild depressive; 20-30 indicates severe depressive.  ""
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,51:03.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09339,Geriatric Depression Scale (GDS) - afraid something bad indicator,GDSAfrdSmthngBadInd,"Indicator whether respondent was afraid over the past week that something bad was going to happen to him or her, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent was afraid over the past week that something bad was going to happen to him or her, as part of the Geriatric Depression Scale (short form) (GDSSF",Are you afraid that something bad is going to happen to you?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21907,Geriatric Depression Scale (GDS) Long Form - Exciting life indicator,GDSExcitingLifeInd,Indicator whether the subject finds life very exciting(long form) (GDSLF),Indicator whether the subject finds life very exciting(long form) (GDSLF),Do you find life very exciting?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,37:30.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09329,Geriatric Depression Scale (GDS) - memory problem indicator,GDSMemoProbInd,"Indicator whether respondent feels she or he had, over the past week, more problems with memory than most, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent feels she or he had, over the past week, more problems with memory than most, as part of the Geriatric Depression Scale (short form) (GDSSF",Do you feel that you have more problems with memory than most?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09340,Geriatric Depression Scale (GDS) - feel happy most time indicator,GDSFeelHppyMostTimeInd,"Indicator whether respondent felt happy most of the time over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent felt happy most of the time over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF",Do you feel happy most of the time?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21908,Geriatric Depression Scale (GDS) Long Form - Project new start difficulty indicator,GDSHardGetStartedonNewProjInd,Indicator whether the subject feels it is hard to get started on new projects(long form) (GDSLF),Indicator whether the subject feels it is hard to get started on new projects(long form) (GDSLF),Is it hard for you to get started on new projects?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,38:52.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09330,Geriatric Depression Scale (GDS) - wonderful alive indicator,GDSWonderflAliveInd,"Indicator whether respondent thought over the past week that it is wonderful to be alive now, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent thought over the past week that it is wonderful to be alive now, as part of the Geriatric Depression Scale (short form) (GDSSF",Do you think it is wonderful to be alive now?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09341,Geriatric Depression Scale (GDS) - feel helpless indicator,GDSFeelHelplssInd,"Indicator whether respondent often felt helpless over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent often felt helpless over the past week, as part of the Geriatric Depression Scale (short form) (GDSSF",Do you often feel helpless?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21909,Geriatric Depression Scale (GDS) Long Form - Little thing upset indicator,GDSUpsetOverLittleThingsInd,Indicator whether the subject frequently gets upset over little things(long form) (GDSLF),Indicator whether the subject frequently gets upset over little things(long form) (GDSLF),Do you frequently get upset over little things?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,40:12.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09331,Geriatric Depression Scale (GDS) - worthless feeling indicator,GDSWorthlssFeelngInd,"Indicator whether over the past week respondent felt worthless the way she or he is now, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether over the past week respondent felt worthless the way she or he is now, as part of the Geriatric Depression Scale (short form) (GDSSF",Do you feel pretty worthless the way you are now?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09342,Geriatric Depression Scale (GDS) - prefer home indicator,GDSPrefHomeInd,"Indicator whether respondent preferred to stay at home over the past week rather than going out and doing things, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether respondent preferred to stay at home over the past week rather than going out and doing things, as part of the Geriatric Depression Scale (short form) (GDSSF","Do you prefer to stay at home, rather than going out and doing things?",Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C21911,Geriatric Depression Scale (GDS) Long Form - Crying indicator,GDSCryingInd,Indicator whether the subject frequently feels like crying(long form) (GDSLF),Indicator whether the subject frequently feels like crying(long form) (GDSLF),Do you frequently feel like crying?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,41:32.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09332,Geriatric Depression Scale (GDS) - full energy indicator,GDSFullEnrgyInd,"Indicator whether over the past week respondent felt full of energy, as part of the Geriatric Depression Scale (short form) (GDSSF)","Indicator whether over the past week respondent felt full of energy, as part of the Geriatric Depression Scale (short form) (GDSSF",Do you feel full of energy?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Geriatric Depression Scale (GDS),F1005,C09343,Geriatric Depression Scale (GDS) - total score,GDSTtlScore,"Value of count of all ""yes"" answers, as part of the Geriatric Depression Scale (short form) (GDSSF)","Value of count of all ""yes"" answers, as part of the Geriatric Depression Scale (short form) (GDSSF",Total Score (short form),,,Numeric Values,"Score 1 point for each bolded answer. A score of 5 or more suggests depression
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,3,57:17.8,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Free-Form Entry
",0,15,,,,,
Geriatric Depression Scale (GDS),F1005,C21912,Geriatric Depression Scale (GDS) Long Form - Concentration trouble indicator,GDSTroubleConcentrateInd,Indicator whether the subject has trouble concentrating(long form) (GDSLF),Indicator whether the subject has trouble concentrating(long form) (GDSLF),Do you have trouble concentrating?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose the best answer that best describes how you felt over the past week.
","Sheikh JI, Yesavage JA. Geriatric Depression Scale (GDS): recent evidence and development of a shorter version. Clin Gerontol 1986:165-173.",Adult,Supplemental,1,42:49.0,Geriatric Depression Scale (GDS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
